"","x"
"All Burglary per 1000 population 12 months to September 2012",1
"All crime  December 2012 ",1
"All crime  March 2013 ",1
"All crime  September 2012 ",1
"All crime December 2012 MSG Average",1
"All crime December 2012 MSG Average Lower Bound",1
"All crime December 2012 MSG Average Upper Bound",1
"All crime March 2013 MSG Average",1
"All crime March 2013 MSG Average Lower Bound",1
"All crime March 2013 MSG Average Upper Bound",1
"All Crime per 1000 population 12 months to December 2009",1
"All Crime per 1000 population 12 months to December 2010",1
"All Crime per 1000 population 12 months to December 2011",1
"All Crime per 1000 population 12 months to December 2012",1
"All Crime per 1000 population 12 months to September 2009",1
"All Crime per 1000 population 12 months to September 2010",1
"All Crime per 1000 population 12 months to September 2011",1
"All Crime per 1000 population 12 months to September 2012",1
"All crime September 2012 MSG Average",1
"All crime September 2012 MSG Average Lower Bound",1
"All crime September 2012 MSG Average Upper Bound",1
"All non-victim based crime December 2012 ",1
"All non-victim based crime December 2012 MSG Average",1
"All non-victim based crime December 2012 MSG Average Lower Bound",1
"All non-victim based crime December 2012 MSG Average Upper Bound",1
"All non-victim based crime per 1000 population 12 months to December 2009",1
"All non-victim based crime per 1000 population 12 months to December 2010",1
"All non-victim based crime per 1000 population 12 months to December 2011",1
"All non-victim based crime per 1000 population 12 months to December 2012",1
"All non-victim based crime per 1000 population 12 months to September 2009",1
"All non-victim based crime per 1000 population 12 months to September 2010",1
"All non-victim based crime per 1000 population 12 months to September 2011",1
"All non-victim based crime per 1000 population 12 months to September 2012",1
"All non-victim based crime September 2012 ",1
"All non-victim based crime September 2012 MSG Average",1
"All non-victim based crime September 2012 MSG Average Lower Bound",1
"All non-victim based crime September 2012 MSG Average Upper Bound",1
"All other theft March 2013 ",1
"All other theft March 2013 MSG Average",1
"All other theft March 2013 MSG Average Lower Bound",1
"All other theft March 2013 MSG Average Upper Bound",1
"All other theft offences per 1000 population 12 months to March 2010",1
"All other theft offences per 1000 population 12 months to March 2011",1
"All other theft offences per 1000 population 12 months to March 2012",1
"All other theft offences per 1000 population 12 months to March 2013",1
"All other theft offences sanction detection rate 12months to March 2010",1
"All other theft offences sanction detection rate 12months to March 2011",1
"All other theft offences sanction detection rate 12months to March 2012",1
"All other theft offences sanction detection rate 12months to March 2013",1
"All other theft offences SD Cautions 12months to March 2010",1
"All other theft offences SD Cautions 12months to March 2011",1
"All other theft offences SD Cautions 12months to March 2012",1
"All other theft offences SD Cautions 12months to March 2013",1
"All other theft offences SD Charge Summons 12months to March 2010",1
"All other theft offences SD Charge Summons 12months to March 2011",1
"All other theft offences SD Charge Summons 12months to March 2012",1
"All other theft offences SD Charge Summons 12months to March 2013",1
"All other theft offences SD Fixed Penalties 12months to March 2010",1
"All other theft offences SD Fixed Penalties 12months to March 2011",1
"All other theft offences SD Fixed Penalties 12months to March 2012",1
"All other theft offences SD Fixed Penalties 12months to March 2013",1
"All other theft offences SD TICs 12months to March 2010",1
"All other theft offences SD TICs 12months to March 2011",1
"All other theft offences SD TICs 12months to March 2012",1
"All other theft offences SD TICs 12months to March 2013",1
"All risk factors complete",1
"All Robbery per 1000 population 12 months to December 2009",1
"All Robbery per 1000 population 12 months to December 2010",1
"All Robbery per 1000 population 12 months to December 2011",1
"All Robbery per 1000 population 12 months to December 2012",1
"All Robbery per 1000 population 12 months to September 2009",1
"All Robbery per 1000 population 12 months to September 2010",1
"All Robbery per 1000 population 12 months to September 2011",1
"All Robbery per 1000 population 12 months to September 2012",1
"All sexual offences December 2012 ",1
"All sexual offences December 2012 MSG Average",1
"All sexual offences December 2012 MSG Average Lower Bound",1
"All sexual offences December 2012 MSG Average Upper Bound",1
"All sexual offences per 1000 population 12 months to December 2009",1
"All sexual offences per 1000 population 12 months to December 2010",1
"All sexual offences per 1000 population 12 months to December 2011",1
"All sexual offences per 1000 population 12 months to December 2012",1
"All sexual offences per 1000 population 12 months to September 2009",1
"All sexual offences per 1000 population 12 months to September 2010",1
"All sexual offences per 1000 population 12 months to September 2011",1
"All sexual offences per 1000 population 12 months to September 2012",1
"All sexual offences September 2012 ",1
"All sexual offences September 2012 MSG Average",1
"All sexual offences September 2012 MSG Average Lower Bound",1
"All sexual offences September 2012 MSG Average Upper Bound",1
"All stealing December 2012 ",1
"All stealing December 2012 MSG Average",1
"All stealing December 2012 MSG Average Lower Bound",1
"All stealing December 2012 MSG Average Upper Bound",1
"All stealing per 1000 population 12 months to December 2009",1
"All stealing per 1000 population 12 months to December 2010",1
"All stealing per 1000 population 12 months to December 2011",1
"All stealing per 1000 population 12 months to December 2012",1
"All stealing per 1000 population 12 months to September 2009",1
"All stealing per 1000 population 12 months to September 2010",1
"All stealing per 1000 population 12 months to September 2011",1
"All stealing per 1000 population 12 months to September 2012",1
"All stealing September 2012 ",1
"All stealing September 2012 MSG Average",1
"All stealing September 2012 MSG Average Lower Bound",1
"All stealing September 2012 MSG Average Upper Bound",1
"All victim based crime December 2012 ",1
"All victim based crime December 2012 MSG Average",1
"All victim based crime December 2012 MSG Average Lower Bound",1
"All victim based crime December 2012 MSG Average Upper Bound",1
"All victim based crime March 2013 ",1
"All victim based crime per 1000 population 12 months to December 2009",1
"All victim based crime per 1000 population 12 months to December 2010",1
"All victim based crime per 1000 population 12 months to December 2011",1
"All victim based crime per 1000 population 12 months to December 2012",1
"All victim based crime per 1000 population 12 months to September 2009",1
"All victim based crime per 1000 population 12 months to September 2010",1
"All victim based crime per 1000 population 12 months to September 2011",1
"All victim based crime per 1000 population 12 months to September 2012",1
"All victim based crime September 2012 ",1
"All victim based crime September 2012 MSG Average",1
"All victim based crime September 2012 MSG Average Lower Bound",1
"All victim based crime September 2012 MSG Average Upper Bound",1
"All violence per 1000 population 12 months to December 2009",1
"All violence per 1000 population 12 months to December 2010",1
"All violence per 1000 population 12 months to December 2011",1
"All violence per 1000 population 12 months to December 2012",1
"All violence per 1000 population 12 months to September 2009",1
"All violence per 1000 population 12 months to September 2010",1
"All violence per 1000 population 12 months to September 2011",1
"All violence per 1000 population 12 months to September 2012",1
"Amount (£) Q1-3",1
"Amount (£) Q4",1
"Amount (excluding VAT)",1
"Amount Published",1
"Amount untied (£)",1
"Amount|Description",1
"Annex A",1
"Annex B",1
"AnnualChange",1
"Anti-social behaviour incidents per 1000 population 12 months to March 2012",1
"Anti-social behaviour incidents per 1000 population 12 months to March 2013",1
"AO",1
"API Gross Amount",1
"Applicant Name",1
"Applications",1
"Apr-11",1
"April 2009 - March 2010",1
"April 2010 MTH",1
"April 2011 - March 2012",1
"April 2011 to March 2012: cost per transaction (¬£)",1
"April 2011 to March 2012: digital volume",1
"April 2011 to March 2012: volume",1
"April 2012 to March 2013: cost per transaction (¬£)",1
"April 2012 to March 2013: digital volume",1
"April 2012 to March 2013: volume",1
"AQ3_7",1
"AQ3_8",1
"AQ3_9",1
"AQ6_1",1
"AQ6_10",1
"AQ6_11",1
"AQ6_2",1
"AQ6_3",1
"AQ6_4",1
"AQ6_5",1
"AQ6_6",1
"AQ6_7",1
"AQ6_8",1
"AQ6_9",1
"AQ8_1",1
"AQ8_2",1
"AQ8_3",1
"AQ8_4",1
"AQ8_5",1
"AQ8_6",1
"AQ8_7",1
"AQ8_8",1
"AQ8_9",1
"Area Hectares",1
"area(T);Supplier(T);TransNo;Amount;",1
"Arrive",1
"Arson offences per 1000 population 12 months to March 2010",1
"Arson offences per 1000 population 12 months to March 2011",1
"Arson offences per 1000 population 12 months to March 2012",1
"Arson offences per 1000 population 12 months to March 2013",1
"Arson offences sanction detection rate 12months to March 2010",1
"Arson offences sanction detection rate 12months to March 2011",1
"Arson offences sanction detection rate 12months to March 2012",1
"Arson offences sanction detection rate 12months to March 2013",1
"Arson offences SD Cautions 12months to March 2010",1
"Arson offences SD Cautions 12months to March 2011",1
"Arson offences SD Cautions 12months to March 2012",1
"Arson offences SD Cautions 12months to March 2013",1
"Arson offences SD Charge Summons 12months to March 2010",1
"Arson offences SD Charge Summons 12months to March 2011",1
"Arson offences SD Charge Summons 12months to March 2012",1
"Arson offences SD Charge Summons 12months to March 2013",1
"Arson offences SD Fixed Penalties 12months to March 2010",1
"Arson offences SD Fixed Penalties 12months to March 2011",1
"Arson offences SD Fixed Penalties 12months to March 2012",1
"Arson offences SD Fixed Penalties 12months to March 2013",1
"Arson offences SD TICs 12months to March 2010",1
"Arson offences SD TICs 12months to March 2011",1
"Arson offences SD TICs 12months to March 2012",1
"Arson offences SD TICs 12months to March 2013",1
"ATTGEN",1
"Attorney General",1
"Aug-11",1
"August 2010 MTH",1
"Authority group",1
"AVAILABILITY
MapExplorer",1
"Average Age At Operation 2011",1
"Average Age At Operation 2012",1
"Average ASA Grade 2011",1
"Average ASA Grade 2012",1
"Average_Price_SA",1
"Average_Prices_SA_SM",1
"AVON ROAD",1
"B has errors?",1
"B-Faststream",1
"B01. I am interested in my work (% strongly agree or agree)",1
"B02. I am sufficiently challenged by my work (% strongly agree or agree)",1
"B03. My work gives me a sense of personal accomplishment (% strongly agree or agree)",1
"B04. I feel involved in the decisions that affect my work (% strongly agree or agree)",1
"B05. I have a choice in deciding how I do my work (% strongly agree or agree)",1
"B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree)",1
"B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree)",1
"B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree)",1
"B09. My manager motivates me to be more effective in my job (% strongly agree or agree)",1
"B10. My manager is considerate of my life outside work (% strongly agree or agree)",1
"B11. My manager is open to my ideas (% strongly agree or agree)",1
"B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree)",1
"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",1
"B14. My manager recognises when I have done my job well (% strongly agree or agree)",1
"B15. I receive regular feedback on my performance (% strongly agree or agree)",1
"B16. The feedback I receive helps me to improve my performance (% strongly agree or agree)",1
"B17. I think that my performance is evaluated fairly (% strongly agree or agree)",1
"B18. Poor performance is dealt with effectively in my team (% strongly agree or agree)",1
"B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree)",1
"B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree)",1
"B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree)",1
"B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)",1
"B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree)",1
"B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree)",1
"B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree)",1
"B26. I am treated fairly at work (% strongly agree or agree)",1
"B27. I am treated with respect by the people I work with (% strongly agree or agree)",1
"B28. I feel valued for the work I do (% strongly agree or agree)",1
"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)",1
"B30. In my job, I am clear what is expected of me (% strongly agree or agree)",1
"B31. I get the information I need to do my job well (% strongly agree or agree)",1
"B32. I have clear work objectives (% strongly agree or agree)",1
"B33. I have the skills I need to do my job effectively (% strongly agree or agree)",1
"B34. I have the tools I need to do my job effectively (% strongly agree or agree)",1
"B35. I have an acceptable workload (% strongly agree or agree)",1
"B36. I achieve a good balance between my work life and my private life (% strongly agree or agree)",1
"B37. I feel that my pay adequately reflects my performance (% strongly agree or agree)",1
"B38. I am satisfied with the total benefits package (% strongly agree or agree)",1
"B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree)",1
"B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree)",1
"B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree)",1
"B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree)",1
"B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree)",1
"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",1
"B45. I feel that change is managed well in [my organisation] (% strongly agree or agree)",1
"B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree)",1
"B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree)",1
"B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree)",1
"B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree)",1
"B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree)",1
"B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree)",1
"B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree)",1
"B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree)",1
"B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree)",1
"B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree)",1
"B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree)",1
"B57. Where I work, I think effective action has been taken on the results of the last survey",1
"BADMINTON CLOSE",1
"Balloon Payment",1
"BARRIERS TO HOUSING AND SERVICES SCORE",1
"Base Amount",1
"Basic
Allowance",1
"Basic Allowance £",1
"Basic Pay",1
"Benchmark (%)",1
"Benchmark Measure",1
"BENEFIT",1
"Beta blocker on discharge (%)",1
"Bibliographic Details",1
"Bicycle Mileage
reimbursed",1
"Bicycle theft March 2013 ",1
"Bicycle theft March 2013 MSG Average",1
"Bicycle theft March 2013 MSG Average Lower Bound",1
"Bicycle theft March 2013 MSG Average Upper Bound",1
"Bicycle theft per 1000 population 12 months to March 2010",1
"Bicycle theft per 1000 population 12 months to March 2011",1
"Bicycle theft per 1000 population 12 months to March 2012",1
"Bicycle theft per 1000 population 12 months to March 2013",1
"Bicycle theft sanction detection rate 12months to March 2010",1
"Bicycle theft sanction detection rate 12months to March 2011",1
"Bicycle theft sanction detection rate 12months to March 2012",1
"Bicycle theft sanction detection rate 12months to March 2013",1
"Bicycle theft SD Cautions 12months to March 2010",1
"Bicycle theft SD Cautions 12months to March 2011",1
"Bicycle theft SD Cautions 12months to March 2012",1
"Bicycle theft SD Cautions 12months to March 2013",1
"Bicycle theft SD Charge Summons 12months to March 2010",1
"Bicycle theft SD Charge Summons 12months to March 2011",1
"Bicycle theft SD Charge Summons 12months to March 2012",1
"Bicycle theft SD Charge Summons 12months to March 2013",1
"Bicycle theft SD Fixed Penalties 12months to March 2010",1
"Bicycle theft SD Fixed Penalties 12months to March 2011",1
"Bicycle theft SD Fixed Penalties 12months to March 2012",1
"Bicycle theft SD Fixed Penalties 12months to March 2013",1
"Bicycle theft SD TICs 12months to March 2010",1
"Bicycle theft SD TICs 12months to March 2011",1
"Bicycle theft SD TICs 12months to March 2012",1
"Bicycle theft SD TICs 12months to March 2013",1
"Bilateral Channel                                                                                                                                                          ",1
"Bileteral city pairs",1
"Body_and_structure",1
"Body/Agency",1
"Booking Method",1
"BoughtInHeatAndPower",1
"BRACKLA",1
"BRACKNELL",1
"BRACKNELL FOREST",1
"Brakes",1
"BRIDGEND",1
"BRIDLINGTON",1
"Brief description of gift",1
"Broadband",1
"BS4 3RF",1
"BS4 5AW",1
"BUCCABANK",1
"Budget (£)",1
"Build End",1
"Build Start",1
"Building Floor Area",1
"Building Floor Area Type",1
"Building id",1
"building type",1
"building usage",1
"building_name",1
"Bullet Payment",1
"BUNGAY",1
"Burglary December 2012 ",1
"Burglary December 2012 MSG Average",1
"Burglary December 2012 MSG Average Lower Bound",1
"Burglary December 2012 MSG Average Upper Bound",1
"Burglary in a building other than a dwelling per 1000 population 12 months to March 2010",1
"Burglary in a building other than a dwelling per 1000 population 12 months to March 2011",1
"Burglary in a building other than a dwelling per 1000 population 12 months to March 2012",1
"Burglary in a building other than a dwelling per 1000 population 12 months to March 2013",1
"Burglary in a building other than a dwelling sanction detection rate 12months to March 2010",1
"Burglary in a building other than a dwelling sanction detection rate 12months to March 2011",1
"Burglary in a building other than a dwelling sanction detection rate 12months to March 2012",1
"Burglary in a building other than a dwelling sanction detection rate 12months to March 2013",1
"Burglary in a building other than a dwelling SD Cautions 12months to March 2010",1
"Burglary in a building other than a dwelling SD Cautions 12months to March 2011",1
"Burglary in a building other than a dwelling SD Cautions 12months to March 2012",1
"Burglary in a building other than a dwelling SD Cautions 12months to March 2013",1
"Burglary in a building other than a dwelling SD Charge Summons 12months to March 2010",1
"Burglary in a building other than a dwelling SD Charge Summons 12months to March 2011",1
"Burglary in a building other than a dwelling SD Charge Summons 12months to March 2012",1
"Burglary in a building other than a dwelling SD Charge Summons 12months to March 2013",1
"Burglary in a building other than a dwelling SD Fixed Penalties 12months to March 2010",1
"Burglary in a building other than a dwelling SD Fixed Penalties 12months to March 2011",1
"Burglary in a building other than a dwelling SD Fixed Penalties 12months to March 2012",1
"Burglary in a building other than a dwelling SD Fixed Penalties 12months to March 2013",1
"Burglary in a building other than a dwelling SD TICs 12months to March 2010",1
"Burglary in a building other than a dwelling SD TICs 12months to March 2011",1
"Burglary in a building other than a dwelling SD TICs 12months to March 2012",1
"Burglary in a building other than a dwelling SD TICs 12months to March 2013",1
"Burglary in a dwelling per 1000 population 12 months to March 2010",1
"Burglary in a dwelling per 1000 population 12 months to March 2011",1
"Burglary in a dwelling per 1000 population 12 months to March 2012",1
"Burglary in a dwelling per 1000 population 12 months to March 2013",1
"Burglary in a dwelling sanction detection rate 12months to March 2010",1
"Burglary in a dwelling sanction detection rate 12months to March 2011",1
"Burglary in a dwelling sanction detection rate 12months to March 2012",1
"Burglary in a dwelling sanction detection rate 12months to March 2013",1
"Burglary in a dwelling SD Cautions 12months to March 2010",1
"Burglary in a dwelling SD Cautions 12months to March 2011",1
"Burglary in a dwelling SD Cautions 12months to March 2012",1
"Burglary in a dwelling SD Cautions 12months to March 2013",1
"Burglary in a dwelling SD Charge Summons 12months to March 2010",1
"Burglary in a dwelling SD Charge Summons 12months to March 2011",1
"Burglary in a dwelling SD Charge Summons 12months to March 2012",1
"Burglary in a dwelling SD Charge Summons 12months to March 2013",1
"Burglary in a dwelling SD Fixed Penalties 12months to March 2010",1
"Burglary in a dwelling SD Fixed Penalties 12months to March 2011",1
"Burglary in a dwelling SD Fixed Penalties 12months to March 2012",1
"Burglary in a dwelling SD Fixed Penalties 12months to March 2013",1
"Burglary in a dwelling SD TICs 12months to March 2010",1
"Burglary in a dwelling SD TICs 12months to March 2011",1
"Burglary in a dwelling SD TICs 12months to March 2012",1
"Burglary in a dwelling SD TICs 12months to March 2013",1
"Burglary March 2013 ",1
"Burglary March 2013 MSG Average",1
"Burglary March 2013 MSG Average Lower Bound",1
"Burglary March 2013 MSG Average Upper Bound",1
"Burglary per 1000 population 12 months to March 2010",1
"Burglary per 1000 population 12 months to March 2011",1
"Burglary per 1000 population 12 months to March 2012",1
"Burglary per 1000 population 12 months to March 2013",1
"Burglary sanction detection rate 12months to March 2010",1
"Burglary sanction detection rate 12months to March 2011",1
"Burglary sanction detection rate 12months to March 2012",1
"Burglary sanction detection rate 12months to March 2013",1
"Burglary SD Cautions 12months to March 2010",1
"Burglary SD Cautions 12months to March 2011",1
"Burglary SD Cautions 12months to March 2012",1
"Burglary SD Cautions 12months to March 2013",1
"Burglary SD Charge Summons 12months to March 2010",1
"Burglary SD Charge Summons 12months to March 2011",1
"Burglary SD Charge Summons 12months to March 2012",1
"Burglary SD Charge Summons 12months to March 2013",1
"Burglary SD Fixed Penalties 12months to March 2010",1
"Burglary SD Fixed Penalties 12months to March 2011",1
"Burglary SD Fixed Penalties 12months to March 2012",1
"Burglary SD Fixed Penalties 12months to March 2013",1
"Burglary SD TICs 12months to March 2010",1
"Burglary SD TICs 12months to March 2011",1
"Burglary SD TICs 12months to March 2012",1
"Burglary SD TICs 12months to March 2013",1
"Burglary September 2012 ",1
"Burglary September 2012 MSG Average",1
"Burglary September 2012 MSG Average Lower Bound",1
"Burglary September 2012 MSG Average Upper Bound",1
"Business Growth (2003-2007)",1
"Business model",1
"Business Support staff FTE per 100 total FTE_As at 31/03/2010_Complaints & discipline",1
"Business Support staff FTE per 100 total FTE_As at 31/03/2010_Corporate development",1
"Business Support staff FTE per 100 total FTE_As at 31/03/2010_Finance",1
"Business Support staff FTE per 100 total FTE_As at 31/03/2010_IT/Communications",1
"Business Support staff FTE per 100 total FTE_As at 31/03/2010_Occupational health and welfare",1
"Business Support staff FTE per 100 total FTE_As at 31/03/2010_Other admin/ clerical",1
"Business Support staff FTE per 100 total FTE_As at 31/03/2010_Personnel/HR",1
"Business Support staff FTE per 100 total FTE_As at 31/03/2010_Press & public relations",1
"Business Support staff FTE per 100 total FTE_As at 31/03/2010_Staff associations",1
"Business Support staff FTE per 100 total FTE_As at 31/03/2010_Total",1
"C has errors?",1
"CABG",1
"Calc Ref Name",1
"Calendar Month",1
"CALNE",1
"CAMDEN",1
"Campaign",1
"CAP Delivery Programme (formerly the Future Options Programme)",1
"Capital and Revenue",1
"Capital For Enterprise Monthly Spend Report",1
"CapitalAndRevenue",1
"Cardholder name",1
"Cardiology inpatient (%)",1
"Carers
Allowance",1
"CARSHALTON GROVE",1
"Case Mix - Female",1
"Case Mix - Male",1
"Case Mix Adjusted Health Gain scores  - BPI int ",1
"Case Mix Adjusted Health Gain scores  - BPI sev ",1
"Case Mix Adjusted Health Gain scores  - EuroQol 5D ",1
"Case Mix- Total ",1
"Cash invested - principal invested/ amount guaranteed
or underwritten",1
"CASTLE MORPETH",1
"Category - Head and neck pain",1
"Category - musculoskeletal pain",1
"Category - Myalgia post infective",1
"Category - Neurological pain",1
"Category - Non specific pain",1
"Category - Null",1
"Category - Visceral pain",1
"CentreEasting",1
"CentreNorthing",1
"CF31 2NA",1
"Change from 2011",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Business support",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Community",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Criminal justice",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Custody",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Dealing with the public",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Forensics",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Intelligence",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Investigation",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Local policing",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Operational support",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Other",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Roads policing",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Specialist functions",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Total",1
"Changes in workforce March 2006 - March 2010_% Change from March 2006_Training",1
"Channel",1
"Charity Number",1
"Children/Young People Sub-domain Rank (where 1 is most deprived)",1
"Children/Young People Sub-domain Score",1
"Chilld abuse homicide prosecutions",1
"Chilld abuse offences against the person prosecutions",1
"Chilld abuse sexual offence prosecutions",1
"CIPFA detailed expenditure code",1
"CIPFA detailed expenditure type",1
"CIPFADetailed ExpenditureType",1
"City",1
"Civil Service Grade (FTE) AA/AO",1
"Civil Service Grade (FTE) EO",1
"Civil Service Grade (FTE) Grade 6/7",1
"Civil Service Grade (FTE) HEO",1
"Civil Service Grade (FTE) SCS",1
"Civil Service Grade (FTE) SEO",1
"Civil Service Grade (Headcount) AA/AO",1
"Civil Service Grade (Headcount) EO",1
"Civil Service Grade (Headcount) Grade 6/7",1
"Civil Service Grade (Headcount) HEO",1
"Civil Service Grade (Headcount) SCS",1
"Civil Service Grade (Headcount) SEO",1
"Class",1
"Class of Service",1
"Classification status and Objectives for WFD Cycle 1, Interim 2010, 2011 and 2012 data",1
"Client",1
"Client Code",1
"Clinic Code: ",1
"Clinic Name: ",1
"CLOSED",1
"CO2 equivalent (tonnes)",1
"CO2 per FTE (tonnes)",1
"Collection type",1
"CollectionTitle",1
"COLNE HOUSE",1
"COLNE ROAD",1
"Column 13",1
"Column 14",1
"Column 15",1
"Column 16",1
"Column AB-AJ",1
"Column AK-AN",1
"Column AO-AR",1
"Column AS-AV",1
"Column AW-AZ",1
"Column BA-BD",1
"Column BE-BH",1
"Column BI-BL",1
"Column BM-BP",1
"Column BQ-BT",1
"Column BU-BX",1
"Column BY-CA",1
"Column CF-CI",1
"Column CJ-CP",1
"Column CQ-CX",1
"Column CY-DE",1
"Column DF-DI",1
"Column DJ-DM",1
"Column DU-DX",1
"Column DY-EE",1
"Column E",1
"Column EF-EH",1
"Column EI-EO",1
"Column EW-FF",1
"Column F",1
"Column F-H ",1
"Column FQ-FY",1
"Column FZ-GG",1
"Column G",1
"Column GR-GU",1
"Column GV-GY",1
"Column H",1
"Column I",1
"Column I-N ",1
"Column J",1
"Column K",1
"Column L",1
"Column M",1
"Column N",1
"Column O",1
"Column O-T ",1
"Column P",1
"Column Q",1
"Column R",1
"Column S",1
"Column T",1
"Column U",1
"Column V",1
"Column W",1
"Column1",1
"Commerical robbery per 1000 population 12 months to December 2009",1
"Commerical robbery per 1000 population 12 months to December 2010",1
"Commerical robbery per 1000 population 12 months to December 2011",1
"Commerical robbery per 1000 population 12 months to December 2012",1
"Commerical robbery per 1000 population 12 months to September 2009",1
"Commerical robbery per 1000 population 12 months to September 2010",1
"Commerical robbery per 1000 population 12 months to September 2011",1
"Commerical robbery per 1000 population 12 months to September 2012",1
"Commitment or facility provided - amount guaranteed or underwritten",1
"Commitment/Disbursement (3) (4)",1
"Common arrangements result %",1
"Common arrangements score",1
"Common arrangements target %",1
"Community_Licence_Number",1
"Companions",1
"Company",1
"Company Number",1
"Component Code ",1
"Concern",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to December 2009",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to December 2010",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to December 2011",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to December 2012",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to March 2010",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to March 2011",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to March 2012",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to March 2013",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2009",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2010",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2011",1
"Confidence interval Percentage of respondents satisfied with Actions 12 months to September 2012",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to December 2009",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to December 2010",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to December 2011",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to December 2012",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to March 2010",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to March 2011",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to March 2012",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to March 2013",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2009",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2010",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2011",1
"Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to September 2012",1
"Confidence interval Percentage of respondents satisfied with Follow up 12 months to December 2009",1
"Confidence interval Percentage of respondents satisfied with Follow up 12 months to December 2010",1
"Confidence interval Percentage of respondents satisfied with Follow up 12 months to December 2011",1
"Confidence interval Percentage of respondents satisfied with Follow up 12 months to December 2012",1
"Confidence interval Percentage of respondents satisfied with Follow up 12 months to March 2010",1
"Confidence interval Percentage of respondents satisfied with Follow up 12 months to March 2011",1
"Confidence interval Percentage of respondents satisfied with Follow up 12 months to March 2012",1
