Column,x
23129,Payroll Staff Costs Salary
23130,Payroll Staff Costs Allowances
23131,Payroll Staff Costs Non-consolidated performance payments
23132,Payroll Staff Costs Overtime
23133,Payroll Staff Costs Employer pension contributions
23134,Payroll Staff Costs Employer national insurance contributions
23135,Payroll Staff Costs Total paybill for payroll staff
23136,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23137,Non-payroll Staff Total cost of consultants/consultancy
23138,Non-payroll Staff Total non-payroll (CCL) staff costs
23139,Grand Total paybill/staffing (payroll and non-payroll) costs
23140,Comments
23141,Organisation Name
23142,Organisation Type
23143,"Main, parent or sponsoring department"
23144,Payroll staff AO/AA Headcount
23145,Payroll staff AO/AA Full-time Equivalent
23146,Payroll staff EO Headcount
23147,Payroll staff EO Full-time Equivalent
23148,Payroll staff SEO/HEO Headcount
23149,Payroll staff SEO/HEO Full-time Equivalent
23150,Payroll staff Grade 6/7 Headcount
23151,Payroll staff Grade 6/7 Full-time Equivalent
23152,Payroll staff SCS Headcount
23153,Payroll staff SCS Full-time Equivalent
23154,"Payroll staff Other, unknown or unspecified Headcount"
23155,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23156,Payroll staff Total Employees Headcount
23157,Payroll staff Total Employees Full-time Equivalent
23158,Non-payroll Staff Agency staff (clerical/admin) Headcount
23159,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23160,Non-payroll Staff Intermin Managers Headcount
23161,Non-payroll Staff Interim Managers Full-time Equivalent
23162,Non-payroll Staff Specialist Contractors Headcount
23163,Non-payroll Staff Specialist Contractors Full-time Equivalent
23164,Non-payroll Staff Consultants/Consultancy Headcount
23165,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23166,Non-payroll Staff Total Employees Headcount
23167,Non-payroll Staff Total Employees Full-time Equivalent
23168,Grand Total (workforce numbers) Headcount
23169,Grand Total (workforce numbers) Full-time Equivalent
23170,Payroll Staff Costs Salary
23171,Payroll Staff Costs Allowances
23172,Payroll Staff Costs Non-consolidated performance payments
23173,Payroll Staff Costs Overtime
23174,Payroll Staff Costs Employer pension contributions
23175,Payroll Staff Costs Employer national insurance contributions
23176,Payroll Staff Costs Total paybill for payroll staff
23177,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23178,Non-payroll Staff Total cost of consultants/consultancy
23179,Non-payroll Staff Total non-payroll (CCL) staff costs
23180,Grand Total paybill/staffing (payroll and non-payroll) costs
23181,Comments
23182,Organisation Name
23183,Organisation Type
23184,"Main, parent or sponsoring department"
23185,Payroll staff AO/AA Headcount
23186,Payroll staff AO/AA Full-time Equivalent
23187,Payroll staff EO Headcount
23188,Payroll staff EO Full-time Equivalent
23189,Payroll staff SEO/HEO Headcount
23190,Payroll staff SEO/HEO Full-time Equivalent
23191,Payroll staff Grade 6/7 Headcount
23192,Payroll staff Grade 6/7 Full-time Equivalent
23193,Payroll staff SCS Headcount
23194,Payroll staff SCS Full-time Equivalent
23195,"Payroll staff Other, unknown or unspecified Headcount"
23196,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23197,Payroll staff Total Employees Headcount
23198,Payroll staff Total Employees Full-time Equivalent
23199,Non-payroll Staff Agency staff (clerical/admin) Headcount
23200,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23201,Non-payroll Staff Intermin Managers Headcount
23202,Non-payroll Staff Interim Managers Full-time Equivalent
23203,Non-payroll Staff Specialist Contractors Headcount
23204,Non-payroll Staff Specialist Contractors Full-time Equivalent
23205,Non-payroll Staff Consultants/Consultancy Headcount
23206,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23207,Non-payroll Staff Total Employees Headcount
23208,Non-payroll Staff Total Employees Full-time Equivalent
23209,Grand Total (workforce numbers) Headcount
23210,Grand Total (workforce numbers) Full-time Equivalent
23211,Payroll Staff Costs Salary
23212,Payroll Staff Costs Allowances
23213,Payroll Staff Costs Non-consolidated performance payments
23214,Payroll Staff Costs Overtime
23215,Payroll Staff Costs Employer pension contributions
23216,Payroll Staff Costs Employer national insurance contributions
23217,Payroll Staff Costs Total paybill for payroll staff
23218,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23219,Non-payroll Staff Total cost of consultants/consultancy
23220,Non-payroll Staff Total non-payroll (CCL) staff costs
23221,Grand Total paybill/staffing (payroll and non-payroll) costs
23222,Comments
23223,Organisation Name
23224,Organisation Type
23225,"Main, parent or sponsoring department"
23226,Payroll staff AO/AA Headcount
23227,Payroll staff AO/AA Full-time Equivalent
23228,Payroll staff EO Headcount
23229,Payroll staff EO Full-time Equivalent
23230,Payroll staff SEO/HEO Headcount
23231,Payroll staff SEO/HEO Full-time Equivalent
23232,Payroll staff Grade 6/7 Headcount
23233,Payroll staff Grade 6/7 Full-time Equivalent
23234,Payroll staff SCS Headcount
23235,Payroll staff SCS Full-time Equivalent
23236,"Payroll staff Other, unknown or unspecified Headcount"
23237,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23238,Payroll staff Total Employees Headcount
23239,Payroll staff Total Employees Full-time Equivalent
23240,Non-payroll Staff Agency staff (clerical/admin) Headcount
23241,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23242,Non-payroll Staff Intermin Managers Headcount
23243,Non-payroll Staff Interim Managers Full-time Equivalent
23244,Non-payroll Staff Specialist Contractors Headcount
23245,Non-payroll Staff Specialist Contractors Full-time Equivalent
23246,Non-payroll Staff Consultants/Consultancy Headcount
23247,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23248,Non-payroll Staff Total Employees Headcount
23249,Non-payroll Staff Total Employees Full-time Equivalent
23250,Grand Total (workforce numbers) Headcount
23251,Grand Total (workforce numbers) Full-time Equivalent
23252,Payroll Staff Costs Salary
23253,Payroll Staff Costs Allowances
23254,Payroll Staff Costs Non-consolidated performance payments
23255,Payroll Staff Costs Overtime
23256,Payroll Staff Costs Employer pension contributions
23257,Payroll Staff Costs Employer national insurance contributions
23258,Payroll Staff Costs Total paybill for payroll staff
23259,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23260,Non-payroll Staff Total cost of consultants/consultancy
23261,Non-payroll Staff Total non-payroll (CCL) staff costs
23262,Grand Total paybill/staffing (payroll and non-payroll) costs
23263,Comments
23264,Organisation Name
23265,Organisation Type
23266,"Main, parent or sponsoring department"
23267,Payroll staff AO/AA Headcount
23268,Payroll staff AO/AA Full-time Equivalent
23269,Payroll staff EO Headcount
23270,Payroll staff EO Full-time Equivalent
23271,Payroll staff SEO/HEO Headcount
23272,Payroll staff SEO/HEO Full-time Equivalent
23273,Payroll staff Grade 6/7 Headcount
23274,Payroll staff Grade 6/7 Full-time Equivalent
23275,Payroll staff SCS Headcount
23276,Payroll staff SCS Full-time Equivalent
23277,"Payroll staff Other, unknown or unspecified Headcount"
23278,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23279,Payroll staff Total Employees Headcount
23280,Payroll staff Total Employees Full-time Equivalent
23281,Non-payroll Staff Agency staff (clerical/admin) Headcount
23282,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23283,Non-payroll Staff Intermin Managers Headcount
23284,Non-payroll Staff Interim Managers Full-time Equivalent
23285,Non-payroll Staff Specialist Contractors Headcount
23286,Non-payroll Staff Specialist Contractors Full-time Equivalent
23287,Non-payroll Staff Consultants/Consultancy Headcount
23288,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23289,Non-payroll Staff Total Employees Headcount
23290,Non-payroll Staff Total Employees Full-time Equivalent
23291,Grand Total (workforce numbers) Headcount
23292,Grand Total (workforce numbers) Full-time Equivalent
23293,Payroll Staff Costs Salary
23294,Payroll Staff Costs Allowances
23295,Payroll Staff Costs Non-consolidated performance payments
23296,Payroll Staff Costs Overtime
23297,Payroll Staff Costs Employer pension contributions
23298,Payroll Staff Costs Employer national insurance contributions
23299,Payroll Staff Costs Total paybill for payroll staff
23300,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23301,Non-payroll Staff Total cost of consultants/consultancy
23302,Non-payroll Staff Total non-payroll (CCL) staff costs
23303,Grand Total paybill/staffing (payroll and non-payroll) costs
23304,Comments
23305,Organisation Name
23306,Organisation Type
23307,"Main, parent or sponsoring department"
23308,Payroll staff AO/AA Headcount
23309,Payroll staff AO/AA Full-time Equivalent
23310,Payroll staff EO Headcount
23311,Payroll staff EO Full-time Equivalent
23312,Payroll staff SEO/HEO Headcount
23313,Payroll staff SEO/HEO Full-time Equivalent
23314,Payroll staff Grade 6/7 Headcount
23315,Payroll staff Grade 6/7 Full-time Equivalent
23316,Payroll staff SCS Headcount
23317,Payroll staff SCS Full-time Equivalent
23318,"Payroll staff Other, unknown or unspecified Headcount"
23319,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23320,Payroll staff Total Employees Headcount
23321,Payroll staff Total Employees Full-time Equivalent
23322,Non-payroll Staff Agency staff (clerical/admin) Headcount
23323,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23324,Non-payroll Staff Intermin Managers Headcount
23325,Non-payroll Staff Interim Managers Full-time Equivalent
23326,Non-payroll Staff Specialist Contractors Headcount
23327,Non-payroll Staff Specialist Contractors Full-time Equivalent
23328,Non-payroll Staff Consultants/Consultancy Headcount
23329,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23330,Non-payroll Staff Total Employees Headcount
23331,Non-payroll Staff Total Employees Full-time Equivalent
23332,Grand Total (workforce numbers) Headcount
23333,Grand Total (workforce numbers) Full-time Equivalent
23334,Payroll Staff Costs Salary
23335,Payroll Staff Costs Allowances
23336,Payroll Staff Costs Non-consolidated performance payments
23337,Payroll Staff Costs Overtime
23338,Payroll Staff Costs Employer pension contributions
23339,Payroll Staff Costs Employer national insurance contributions
23340,Payroll Staff Costs Total paybill for payroll staff
23341,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23342,Non-payroll Staff Total cost of consultants/consultancy
23343,Non-payroll Staff Total non-payroll (CCL) staff costs
23344,Grand Total paybill/staffing (payroll and non-payroll) costs
23345,Comments
23346,Organisation Name
23347,Organisation Type
23348,"Main, parent or sponsoring department"
23349,Payroll staff AO/AA Headcount
23350,Payroll staff AO/AA Full-time Equivalent
23351,Payroll staff EO Headcount
23352,Payroll staff EO Full-time Equivalent
23353,Payroll staff SEO/HEO Headcount
23354,Payroll staff SEO/HEO Full-time Equivalent
23355,Payroll staff Grade 6/7 Headcount
23356,Payroll staff Grade 6/7 Full-time Equivalent
23357,Payroll staff SCS Headcount
23358,Payroll staff SCS Full-time Equivalent
23359,"Payroll staff Other, unknown or unspecified Headcount"
23360,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23361,Payroll staff Total Employees Headcount
23362,Payroll staff Total Employees Full-time Equivalent
23363,Non-payroll Staff Agency staff (clerical/admin) Headcount
23364,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23365,Non-payroll Staff Intermin Managers Headcount
23366,Non-payroll Staff Interim Managers Full-time Equivalent
23367,Non-payroll Staff Specialist Contractors Headcount
23368,Non-payroll Staff Specialist Contractors Full-time Equivalent
23369,Non-payroll Staff Consultants/Consultancy Headcount
23370,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23371,Non-payroll Staff Total Employees Headcount
23372,Non-payroll Staff Total Employees Full-time Equivalent
23373,Grand Total (workforce numbers) Headcount
23374,Grand Total (workforce numbers) Full-time Equivalent
23375,Payroll Staff Costs Salary
23376,Payroll Staff Costs Allowances
23377,Payroll Staff Costs Non-consolidated performance payments
23378,Payroll Staff Costs Overtime
23379,Payroll Staff Costs Employer pension contributions
23380,Payroll Staff Costs Employer national insurance contributions
23381,Payroll Staff Costs Total paybill for payroll staff
23382,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23383,Non-payroll Staff Total cost of consultants/consultancy
23384,Non-payroll Staff Total non-payroll (CCL) staff costs
23385,Grand Total paybill/staffing (payroll and non-payroll) costs
23386,Comments
23387,Organisation Name
23388,Organisation Type
23389,"Main, parent or sponsoring department"
23390,Payroll staff AO/AA Headcount
23391,Payroll staff AO/AA Full-time Equivalent
23392,Payroll staff EO Headcount
23393,Payroll staff EO Full-time Equivalent
23394,Payroll staff SEO/HEO Headcount
23395,Payroll staff SEO/HEO Full-time Equivalent
23396,Payroll staff Grade 6/7 Headcount
23397,Payroll staff Grade 6/7 Full-time Equivalent
23398,Payroll staff SCS Headcount
23399,Payroll staff SCS Full-time Equivalent
23400,"Payroll staff Other, unknown or unspecified Headcount"
23401,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23402,Payroll staff Total Employees Headcount
23403,Payroll staff Total Employees Full-time Equivalent
23404,Non-payroll Staff Agency staff (clerical/admin) Headcount
23405,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23406,Non-payroll Staff Intermin Managers Headcount
23407,Non-payroll Staff Interim Managers Full-time Equivalent
23408,Non-payroll Staff Specialist Contractors Headcount
23409,Non-payroll Staff Specialist Contractors Full-time Equivalent
23410,Non-payroll Staff Consultants/Consultancy Headcount
23411,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23412,Non-payroll Staff Total Employees Headcount
23413,Non-payroll Staff Total Employees Full-time Equivalent
23414,Grand Total (workforce numbers) Headcount
23415,Grand Total (workforce numbers) Full-time Equivalent
23416,Payroll Staff Costs Salary
23417,Payroll Staff Costs Allowances
23418,Payroll Staff Costs Non-consolidated performance payments
23419,Payroll Staff Costs Overtime
23420,Payroll Staff Costs Employer pension contributions
23421,Payroll Staff Costs Employer national insurance contributions
23422,Payroll Staff Costs Total paybill for payroll staff
23423,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23424,Non-payroll Staff Total cost of consultants/consultancy
23425,Non-payroll Staff Total non-payroll (CCL) staff costs
23426,Grand Total paybill/staffing (payroll and non-payroll) costs
23427,Comments
23428,Organisation Name
23429,Organisation Type
23430,"Main, parent or sponsoring department"
23431,Payroll staff AO/AA Headcount
23432,Payroll staff AO/AA Full-time Equivalent
23433,Payroll staff EO Headcount
23434,Payroll staff EO Full-time Equivalent
23435,Payroll staff SEO/HEO Headcount
23436,Payroll staff SEO/HEO Full-time Equivalent
23437,Payroll staff Grade 6/7 Headcount
23438,Payroll staff Grade 6/7 Full-time Equivalent
23439,Payroll staff SCS Headcount
23440,Payroll staff SCS Full-time Equivalent
23441,"Payroll staff Other, unknown or unspecified Headcount"
23442,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23443,Payroll staff Total Employees Headcount
23444,Payroll staff Total Employees Full-time Equivalent
23445,Non-payroll Staff Agency staff (clerical/admin) Headcount
23446,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23447,Non-payroll Staff Intermin Managers Headcount
23448,Non-payroll Staff Interim Managers Full-time Equivalent
23449,Non-payroll Staff Specialist Contractors Headcount
23450,Non-payroll Staff Specialist Contractors Full-time Equivalent
23451,Non-payroll Staff Consultants/Consultancy Headcount
23452,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23453,Non-payroll Staff Total Employees Headcount
23454,Non-payroll Staff Total Employees Full-time Equivalent
23455,Grand Total (workforce numbers) Headcount
23456,Grand Total (workforce numbers) Full-time Equivalent
23457,Payroll Staff Costs Salary
23458,Payroll Staff Costs Allowances
23459,Payroll Staff Costs Non-consolidated performance payments
23460,Payroll Staff Costs Overtime
23461,Payroll Staff Costs Employer pension contributions
23462,Payroll Staff Costs Employer national insurance contributions
23463,Payroll Staff Costs Total paybill for payroll staff
23464,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23465,Non-payroll Staff Total cost of consultants/consultancy
23466,Non-payroll Staff Total non-payroll (CCL) staff costs
23467,Grand Total paybill/staffing (payroll and non-payroll) costs
23468,Comments
23469,Organisation Name
23470,Organisation Type
23471,"Main, parent or sponsoring department"
23472,Payroll staff AO/AA Headcount
23473,Payroll staff AO/AA Full-time Equivalent
23474,Payroll staff EO Headcount
23475,Payroll staff EO Full-time Equivalent
23476,Payroll staff SEO/HEO Headcount
23477,Payroll staff SEO/HEO Full-time Equivalent
23478,Payroll staff Grade 6/7 Headcount
23479,Payroll staff Grade 6/7 Full-time Equivalent
23480,Payroll staff SCS Headcount
23481,Payroll staff SCS Full-time Equivalent
23482,"Payroll staff Other, unknown or unspecified Headcount"
23483,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23484,Payroll staff Total Employees Headcount
23485,Payroll staff Total Employees Full-time Equivalent
23486,Non-payroll Staff Agency staff (clerical/admin) Headcount
23487,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23488,Non-payroll Staff Intermin Managers Headcount
23489,Non-payroll Staff Interim Managers Full-time Equivalent
23490,Non-payroll Staff Specialist Contractors Headcount
23491,Non-payroll Staff Specialist Contractors Full-time Equivalent
23492,Non-payroll Staff Consultants/Consultancy Headcount
23493,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23494,Non-payroll Staff Total Employees Headcount
23495,Non-payroll Staff Total Employees Full-time Equivalent
23496,Grand Total (workforce numbers) Headcount
23497,Grand Total (workforce numbers) Full-time Equivalent
23498,Payroll Staff Costs Salary
23499,Payroll Staff Costs Allowances
23500,Payroll Staff Costs Non-consolidated performance payments
23501,Payroll Staff Costs Overtime
23502,Payroll Staff Costs Employer pension contributions
23503,Payroll Staff Costs Employer national insurance contributions
23504,Payroll Staff Costs Total paybill for payroll staff
23505,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23506,Non-payroll Staff Total cost of consultants/consultancy
23507,Non-payroll Staff Total non-payroll (CCL) staff costs
23508,Grand Total paybill/staffing (payroll and non-payroll) costs
23509,Comments
23510,Organisation Name
23511,Organisation Type
23512,"Main, parent or sponsoring department"
23513,Payroll staff AO/AA Headcount
23514,Payroll staff AO/AA Full-time Equivalent
23515,Payroll staff EO Headcount
23516,Payroll staff EO Full-time Equivalent
23517,Payroll staff SEO/HEO Headcount
23518,Payroll staff SEO/HEO Full-time Equivalent
23519,Payroll staff Grade 6/7 Headcount
23520,Payroll staff Grade 6/7 Full-time Equivalent
23521,Payroll staff SCS Headcount
23522,Payroll staff SCS Full-time Equivalent
23523,"Payroll staff Other, unknown or unspecified Headcount"
23524,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23525,Payroll staff Total Employees Headcount
23526,Payroll staff Total Employees Full-time Equivalent
23527,Non-payroll Staff Agency staff (clerical/admin) Headcount
23528,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23529,Non-payroll Staff Intermin Managers Headcount
23530,Non-payroll Staff Interim Managers Full-time Equivalent
23531,Non-payroll Staff Specialist Contractors Headcount
23532,Non-payroll Staff Specialist Contractors Full-time Equivalent
23533,Non-payroll Staff Consultants/Consultancy Headcount
23534,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23535,Non-payroll Staff Total Employees Headcount
23536,Non-payroll Staff Total Employees Full-time Equivalent
23537,Grand Total (workforce numbers) Headcount
23538,Grand Total (workforce numbers) Full-time Equivalent
23539,Payroll Staff Costs Salary
23540,Payroll Staff Costs Allowances
23541,Payroll Staff Costs Non-consolidated performance payments
23542,Payroll Staff Costs Overtime
23543,Payroll Staff Costs Employer pension contributions
23544,Payroll Staff Costs Employer national insurance contributions
23545,Payroll Staff Costs Total paybill for payroll staff
23546,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23547,Non-payroll Staff Total cost of consultants/consultancy
23548,Non-payroll Staff Total non-payroll (CCL) staff costs
23549,Grand Total paybill/staffing (payroll and non-payroll) costs
23550,Comments
23551,Organisation Name
23552,Organisation Type
23553,"Main, parent or sponsoring department"
23554,Payroll staff AO/AA Headcount
23555,Payroll staff AO/AA Full-time Equivalent
23556,Payroll staff EO Headcount
23557,Payroll staff EO Full-time Equivalent
23558,Payroll staff SEO/HEO Headcount
23559,Payroll staff SEO/HEO Full-time Equivalent
23560,Payroll staff Grade 6/7 Headcount
23561,Payroll staff Grade 6/7 Full-time Equivalent
23562,Payroll staff SCS Headcount
23563,Payroll staff SCS Full-time Equivalent
23564,"Payroll staff Other, unknown or unspecified Headcount"
23565,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23566,Payroll staff Total Employees Headcount
23567,Payroll staff Total Employees Full-time Equivalent
23568,Non-payroll Staff Agency staff (clerical/admin) Headcount
23569,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23570,Non-payroll Staff Intermin Managers Headcount
23571,Non-payroll Staff Interim Managers Full-time Equivalent
23572,Non-payroll Staff Specialist Contractors Headcount
23573,Non-payroll Staff Specialist Contractors Full-time Equivalent
23574,Non-payroll Staff Consultants/Consultancy Headcount
23575,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23576,Non-payroll Staff Total Employees Headcount
23577,Non-payroll Staff Total Employees Full-time Equivalent
23578,Grand Total (workforce numbers) Headcount
23579,Grand Total (workforce numbers) Full-time Equivalent
23580,Payroll Staff Costs Salary
23581,Payroll Staff Costs Allowances
23582,Payroll Staff Costs Non-consolidated performance payments
23583,Payroll Staff Costs Overtime
23584,Payroll Staff Costs Employer pension contributions
23585,Payroll Staff Costs Employer national insurance contributions
23586,Payroll Staff Costs Total paybill for payroll staff
23587,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23588,Non-payroll Staff Total cost of consultants/consultancy
23589,Non-payroll Staff Total non-payroll (CCL) staff costs
23590,Grand Total paybill/staffing (payroll and non-payroll) costs
23591,Comments
23592,Organisation Name
23593,Organisation Type
23594,"Main, parent or sponsoring department"
23595,Payroll staff AO/AA Headcount
23596,Payroll staff AO/AA Full-time Equivalent
23597,Payroll staff EO Headcount
23598,Payroll staff EO Full-time Equivalent
23599,Payroll staff SEO/HEO Headcount
23600,Payroll staff SEO/HEO Full-time Equivalent
23601,Payroll staff Grade 6/7 Headcount
23602,Payroll staff Grade 6/7 Full-time Equivalent
23603,Payroll staff SCS Headcount
23604,Payroll staff SCS Full-time Equivalent
23605,"Payroll staff Other, unknown or unspecified Headcount"
23606,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23607,Payroll staff Total Employees Headcount
23608,Payroll staff Total Employees Full-time Equivalent
23609,Non-payroll Staff Agency staff (clerical/admin) Headcount
23610,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23611,Non-payroll Staff Intermin Managers Headcount
23612,Non-payroll Staff Interim Managers Full-time Equivalent
23613,Non-payroll Staff Specialist Contractors Headcount
23614,Non-payroll Staff Specialist Contractors Full-time Equivalent
23615,Non-payroll Staff Consultants/Consultancy Headcount
23616,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23617,Non-payroll Staff Total Employees Headcount
23618,Non-payroll Staff Total Employees Full-time Equivalent
23619,Grand Total (workforce numbers) Headcount
23620,Grand Total (workforce numbers) Full-time Equivalent
23621,Payroll Staff Costs Salary
23622,Payroll Staff Costs Allowances
23623,Payroll Staff Costs Non-consolidated performance payments
23624,Payroll Staff Costs Overtime
23625,Payroll Staff Costs Employer pension contributions
23626,Payroll Staff Costs Employer national insurance contributions
23627,Payroll Staff Costs Total paybill for payroll staff
23628,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23629,Non-payroll Staff Total cost of consultants/consultancy
23630,Non-payroll Staff Total non-payroll (CCL) staff costs
23631,Grand Total paybill/staffing (payroll and non-payroll) costs
23632,Comments
23633,Organisation Name
23634,Organisation Type
23635,"Main, parent or sponsoring department"
23636,Payroll staff AO/AA Headcount
23637,Payroll staff AO/AA Full-time Equivalent
23638,Payroll staff EO Headcount
23639,Payroll staff EO Full-time Equivalent
23640,Payroll staff SEO/HEO Headcount
23641,Payroll staff SEO/HEO Full-time Equivalent
23642,Payroll staff Grade 6/7 Headcount
23643,Payroll staff Grade 6/7 Full-time Equivalent
23644,Payroll staff SCS Headcount
23645,Payroll staff SCS Full-time Equivalent
23646,"Payroll staff Other, unknown or unspecified Headcount"
23647,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23648,Payroll staff Total Employees Headcount
23649,Payroll staff Total Employees Full-time Equivalent
23650,Non-payroll Staff Agency staff (clerical/admin) Headcount
23651,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23652,Non-payroll Staff Intermin Managers Headcount
23653,Non-payroll Staff Interim Managers Full-time Equivalent
23654,Non-payroll Staff Specialist Contractors Headcount
23655,Non-payroll Staff Specialist Contractors Full-time Equivalent
23656,Non-payroll Staff Consultants/Consultancy Headcount
23657,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23658,Non-payroll Staff Total Employees Headcount
23659,Non-payroll Staff Total Employees Full-time Equivalent
23660,Grand Total (workforce numbers) Headcount
23661,Grand Total (workforce numbers) Full-time Equivalent
23662,Payroll Staff Costs Salary
23663,Payroll Staff Costs Allowances
23664,Payroll Staff Costs Non-consolidated performance payments
23665,Payroll Staff Costs Overtime
23666,Payroll Staff Costs Employer pension contributions
23667,Payroll Staff Costs Employer national insurance contributions
23668,Payroll Staff Costs Total paybill for payroll staff
23669,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23670,Non-payroll Staff Total cost of consultants/consultancy
23671,Non-payroll Staff Total non-payroll (CCL) staff costs
23672,Grand Total paybill/staffing (payroll and non-payroll) costs
23673,Comments
23674,Organisation Name
23675,Organisation Type
23676,"Main, parent or sponsoring department"
23677,Payroll staff AO/AA Headcount
23678,Payroll staff AO/AA Full-time Equivalent
23679,Payroll staff EO Headcount
23680,Payroll staff EO Full-time Equivalent
23681,Payroll staff SEO/HEO Headcount
23682,Payroll staff SEO/HEO Full-time Equivalent
23683,Payroll staff Grade 6/7 Headcount
23684,Payroll staff Grade 6/7 Full-time Equivalent
23685,Payroll staff SCS Headcount
23686,Payroll staff SCS Full-time Equivalent
23687,"Payroll staff Other, unknown or unspecified Headcount"
23688,"Payroll staff Other, unknown or unspecified Full-time Equivalent"
23689,Payroll staff Total Employees Headcount
23690,Payroll staff Total Employees Full-time Equivalent
23691,Non-payroll Staff Agency staff (clerical/admin) Headcount
23692,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent
23693,Non-payroll Staff Intermin Managers Headcount
23694,Non-payroll Staff Interim Managers Full-time Equivalent
23695,Non-payroll Staff Specialist Contractors Headcount
23696,Non-payroll Staff Specialist Contractors Full-time Equivalent
23697,Non-payroll Staff Consultants/Consultancy Headcount
23698,Non-payroll Staff Consultants/Consultancy Full-time Equivalent
23699,Non-payroll Staff Total Employees Headcount
23700,Non-payroll Staff Total Employees Full-time Equivalent
23701,Grand Total (workforce numbers) Headcount
23702,Grand Total (workforce numbers) Full-time Equivalent
23703,Payroll Staff Costs Salary
23704,Payroll Staff Costs Allowances
23705,Payroll Staff Costs Non-consolidated performance payments
23706,Payroll Staff Costs Overtime
23707,Payroll Staff Costs Employer pension contributions
23708,Payroll Staff Costs Employer national insurance contributions
23709,Payroll Staff Costs Total paybill for payroll staff
23710,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors"
23711,Non-payroll Staff Total cost of consultants/consultancy
23712,Non-payroll Staff Total non-payroll (CCL) staff costs
23713,Grand Total paybill/staffing (payroll and non-payroll) costs
23714,Comments
23715,Organisation Name
23716,Organisation Type
23717,"Main, parent or sponsoring department"
23718,Payroll staff AO/AA Headcount
23719,Payroll staff AO/AA Full-time Equivalent
23720,Payroll staff EO Headcount
