dataset,header
1691,Transaction Number
1691,Amount
1692,Department Family
1692,Entity
1692,Date
1692,Expense Type
1692,Expense Area
1692,Supplier
1692,Transaction Number
1692,Amount
1693,Department Family
1693,Entity
1693,Date
1693,4 Expense Type
1693,Expense Area
1693,Supplier
1693,Transaction No
1693,Amount
1694,Department
1694,Entity
1694,Date
1694,Expense Type
1694,Expense Area
1694,Supplier
1694,Transaction Number
1694,Amount
1694,Additional Narrative
1695,Department
1695,Entity
1695,Date
1695,Expense Type
1695,Expense Area
1695,Supplier Name
1695,Transaction Number
1695,Amount
1696,Department
1696,Entity
1696,Date
1696,Expense Type
1696,Expense Area
1696,Supplier Name
1696,Transaction Number
1696,Amount
1696,Description
1697,Department Family
1697,Entity
1697,Date
1697,Expense Type
1697,Expense Area
1697,Supplier
1697,Transaction Number
1697,Amount
1697,Invoice Description
1697,"Description ( Please populate using the Invoice Description: Please rememebr no acroynms, abbreviations or PO numbers)"
1697,Supplier Postcode
1697,Supplier Type
1697,Contract Number
1697,Project Code
1697,Expenditure Type
1697,VAT Registration Number
1698,Department
1698,Entity
1698,ACCOUNTING_DATE
1698,EXPENSE_TYPE
1698,EXPENSE_AREA
1698,Supplier
1698,TRANSACTION_NUM
1698,Amount
1698,Description of Transaction
1698,Postcode
1698,SUPPLIER_TYPE
1698,CONTRACT_NUMBER
1698,PROJECT_CODE
1698,EXPENDITURE_TYPE
1698,VAT_REGISTRATION_NUM
1699,Department
1699,Entity
1699,ACCOUNTING_DATE
1699,EXPENSE_TYPE
1699,SUPPLIER_OBS_TYPE
1699,EXPENSE_AREA
1699,SUPPLIER_OBS_TYPE_1
1699,Supplier
1699,TRANSACTION_NUM
1699,Amount
1699,Description
1699,Postcode
1699,SUPPLIER_TYPE
1699,CONTRACT_NUMBER
1699,PROJECT_CODE
1699,EXPENDITURE_TYPE
1699,VAT_REGISTRATION_NUM
1700,Department
1700,Entity
1700,ACCOUNTING_DATE
1700,EXPENSE_TYPE
1700,SUPPLIER_OBS_TYPE
1700,EXPENSE_AREA
1700,SUPPLIER_OBS_TYPE_1
1700,Supplier
1700,TRANSACTION_NUM
1700,Amount
1700,Actual Description
1700,Postcode
1700,SUPPLIER_TYPE
1700,CONTRACT_NUMBER
1700,PROJECT_CODE
1700,EXPENDITURE_TYPE
1700,VAT_REGISTRATION_NUM
1701,Department Family
1701,Entity
1701,Date
1701,Expense Type
1701,Expense Area
1701,Supplier
1701,Transaction Number
1701,Amount
1701,Description
1701,Supplier Postcode
1701,Supplier Type
1701,Contract Number
1701,Project Code
1701,Expenditure Type
1702,Department
1702,Entity
1702,Date
1702,Expense Type
1702,Expense Area
1702,Supplier
1702,Transaction Number
1702,Amount
1702,Description
1702,Supplier Postcode
1702,Supplier Type
1702,Contract Number
1702,Project Code
1702,Expenditure Type
1702,VAT Registration Number
1703,Department
1703,Entity
1703,Date
1703,Expense Type
1703,Expense Area
1703,Supplier
1703,Transaction Number
1703,Amount
1703,Description
1703,Supplier Postcode
1703,Supplier Type
1703,Contract Number
1703,Project Code
1703,Expenditure Type
1703,VAT Registration Number
1704,Department
1704,Entity
1704,Date
1704,Expense Type
1704,Expense Area
1704,Supplier
1704,Transaction Number
1704,Amount
1704,Description
1704,Supplier Postcode
1704,Supplier Type
1704,Contract Number
1704,Project Code
1704,Expenditure Type
1704,VAT Registration Number
1705,Department
1705,Entity
1705,Date
1705,Expense Type
1705,Expense Area
1705,Supplier
1705,Transaction Number
1705,Amount
1705,Description
1705,Supplier Postcode
1705,Supplier Type
1705,Contract Number
1705,Project Code
1705,Expenditure Type
1705,VAT Registration Number
1706,Department
1706,Entity
1706,Date
1706,Expense Type
1706,Expense Area
1706,Supplier
1706,Transaction Number
1706,Amount
1706,Description
1706,Supplier Postcode
1706,Supplier Type
1706,Contract Number
1706,Project Code
1706,Expenditure Type
1706,VAT Registration Number
1707,Department
1707,Entity
1707,Date
1707,Expense Type
1707,Expense Area
1707,Supplier
1707,Transaction Number
1707,Amount
1707,Description
1707,Supplier Postcode
1707,Supplier Type
1707,Contract Number
1707,Project Code
1707,Expenditure Type
1707,VAT Registration Number
1708,Department
1708,Entity
1708,Date
1708,Expense Type
1708,Expense Area
1708,Supplier
1708,Transaction Number
1708,Amount
1708,Description
1708,Supplier Postcode
1708,Supplier Type
1708,Contract Number
1708,Project Code
1708,Expenditure Type
1708,Vat Registration Num
1709,Department
1709,Entity
1709,Date
1709,Expense Type
1709,Expense Area
1709,Supplier
1709,Transaction Number
1709,Amount
1709,Description
1709,Supplier Postcode
1709,Supplier Type
1709,Contract Number
1709,Project Code
1709,Expenditure Type
1709,Vat Registration Num
1710,Department
1710,Entity
1710,Date
1710,Expense Type
1710,Expense Area
1710,Supplier
1710,Transaction Number
1710,Amount
1710,Description
1710,Supplier Postcode
1710,Supplier Type
1710,Contract Number
1710,Project Code
1710,Expenditure Type
1710,Vat Registration Num
1711,Department
1711,Entity
1711,Date
1711,Expense Type
1711,Expense Area
1711,Supplier
1711,Transaction Number
1711,Amount
1711,Description
1711,Supplier Postcode
1711,Supplier Type
1711,Contract Number
1711,Project Code
1711,Expenditure Type
1711,Vat Registration Num
1712,Department
1712,Entity
1712,Date
1712,Expense Type
1712,Expense Area
1712,Supplier
1712,Transaction Number
1712,Amount
1712,Description
1712,Supplier Postcode
1712,Supplier Type
1712,Contract Number
1712,Project Code
1712,Expenditure Type
1712,Vat Registration Num
1713,Department
1713,Entity
1713,Date
1713,Supplier
1713,Transaction Number
1713,Amount
1713,Description
1713,Supplier Postcode
1713,Supplier Type
1713,Contract Number
1713,Project Code
1713,Expenditure Type
1713,Vat Registration Num
1714,Trust No.
1714,Trust (England only)
1714,Number of patients
1714,Adapted-UFS QoL severity score - Number of patients answering question 
1714,Adapted-UFS QoL severity score - Observed mean severity score
1714,Adapted-UFS QoL HRQoL score - Number of patients answering question 
1714,Adapted-UFS QoL HRQoL score - Observed mean HRQoL score
1714,EQ-5D score - Number of patients answering question
1714,EQ-5D score - Observed mean EQ-5D score
1715,Trust No.
1715,Trust (England only)
1715,Number of patients
1715,Duration of symptoms >1 year - Number of patients answering question
1715,Duration of symptoms >1 year - Observed % 
1715,Duration of symptoms >1 year - Adjusted % 
1715,Severe/very severe pain - Number of patients answering question 
1715,Severe/very severe pain - Observed % 
1715,Severe/very severe pain - Adjusted % 
1715,No prior GP visits - Number of patients answering question
1715,No prior GP visits - Observed % 
1715,No prior GP visits - Adjusted % 
1715,No prior treatment - Number of patients answering question
1715,No prior treatment - Observed % 
1715,No prior treatment - Adjusted %
1716,Minister
1716,Date of Trip
1716,Destination
1716,Purpose
1716,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'
1716,Number of officials accompanying Ministers (where non-scheduled travel is used)
1716,Total Cost including travel and accommodation of Minister only
1717,Department
1717,Name
1717,Role
1717,Category
1717,Interest
1718,Supplier Name
1718,Payment Date
1718,Revenue/Capital
1718,Department
1718, Total ex-VAT 
1719,Post Unique Reference
1719,Name
1719,Grade (or equivalent)
1719,Job Title
1719,Job/Team Function
1719,Parent Department
1719,Organisation
1719,Unit
1719,Contact Phone
1719,Contact E-mail
1719,Reports to Senior Post
1719,Salary Cost of Reports (£)
1719,FTE
1719,Actual Pay Floor (£)
1719,Actual Pay Ceiling (£)
1719,V16
1719,Professional/Occupational Group
1719,Notes
1719,Valid?
1720,Parent Department
1720,Organisation
1720,Unit
1720,Reporting Senior Post
1720,Grade
1720,Payscale Minimum (£)
1720,Payscale Maximum (£)
1720,Generic Job Title
1720,Number of Posts in FTE
1720,Professional/Occupational Group
1721,Departmental Family
1721,Entity
1721,Date
1721,Expense Type
1721,Expense Area
1721,Supplier
1721,Transaction Number
1721,Amount
1722,Departmental Family
1722,Entity
1722,Date
1722,Expense Type
1722,Expense Area
1722,Supplier
1722,Transaction Number
1722,Amount
1723,Departmental Family
1723,Entity
1723,Date
1723,Expense Type
1723,Expense Area
1723,Supplier
1723,Transaction Number
1723,Amount
1724,Departmental Family
1724,Entity
1724,Date
1724,Expense Type
1724,Expense Area
1724,Supplier
1724,Transaction Number
1724,Amount
1725,Departmental Family
1725,Entity
1725,Date
1725,Expense Type
1725,Expense Area
1725,Supplier
1725,Transaction Number
1725,Amount
1726,Departmental Family
1726,Entity
1726,Date
1726,Expense Type
1726,Expense Area
1726,Supplier
1726,Transaction Number
1726,Amount
1727,Departmental Family
1727,Entity
1727,Date
1727,Expenditure Type
1727,Expenditure Area
1727,Supplier
1727,Transaction Number
1727,Amount
1728,Capital For Enterprise Monthly Spend Report
1728,V2
1728,V3
1728,V4
1728,V5
1728,V6
1728,V7
1728,V8
1728,January 2013
1729,Transaction reference number
1729,Posting Date
1729,Merchant Name
1729,Final Transaction Amount
1729,Description
1730,Transaction reference number
1730,Posting Date
1730,Merchant Name
1730,Final Transaction Amount
1730,Description
1731,Department Family
1731,Entity
1731,Date
1731,Expense Type
1731,Expense Area
1731,Supplier
1731,Transaction Number
1731,Amount
1731,Distribution Line Number
1732,Department Family
1732,Entity
1732,Date
1732,Expense Type
1732,Expense Area
1732,Supplier
1732,Transaction Number
1732,Amount
1732,Distribution Line Number
1733,Department Family
1733,Entity
1733,Date
1733,Expense Type
1733,Expense Area
1733,Supplier
1733,Transaction Number
1733,Amount
1733,Distribution Line Number
1734,Department Family
1734,Entity
1734,Date
1734,Expense Type
1734,Expense Area
1734,Supplier
1734,Transaction Number
1734,Amount
1734,Distribution Line Number
1735,Department Family
1735,Entity
1735,Date
1735,Expense Type
1735,Expense Area
1735,Supplier
1735,Transaction Number
1735,Amount
1735,Distribution Line Number
1736,Department Family
1736,Entity
1736,Date
1736,Expense Type
1736,Expense Area
1736,Supplier
1736,Transaction Number
1736,Amount
1736,Distribution Line Number
1737,Department Family
1737,Entity
1737,Date
1737,Expense Type
1737,Expense Area
1737,Supplier
1737,Transaction Number
1737,Amount
1737,Distribution Line Number
1738,Department Family
1738,Entity
1738,Date
1738,Expense Type
1738,Expense Area
1738,Supplier
1738,Transaction Number
1738,Amount
1738,Distribution Line Number
1739,Department Family
1739,Entity
1739,Date
1739,Expense Type
1739,Expense Area
1739,Supplier
1739,Transaction Number
1739,Amount
1739,Distribution Line Number
1740,Department Family
1740,Entity
1740,Date
1740,Expense Type
1740,Expense Area
1740,Supplier
1740,Transaction Number
1740,Amount
1740,Distribution Line Number
1740,Optems
1740,Ref
1741,Department Family
1741,Entity
1741,Date
1741,Expense Type
1741,Expense Area
1741,Supplier
1741,Transaction Number
1741,Amount
1741,Distribution Line Number
1742,Department Family
1742,Entity
1742,Date
1742,Expense Type
1742,Expense Area
1742,Supplier
1742,Transaction Number
1742,Amount
1742,Distribution Line Number
1743,Department Family
1743,Entity
1743,Date
1743,Expense Type
1743,Expense Area
1743,Supplier
1743,Transaction Number
1743,Amount
1743,Distribution Line Number
1744,Department Family
1744,Entity
1744,Date
1744,Expense Type
1744,Expense Area
1744,Supplier
1744,Transaction Number
1744,Amount
1744,Distribution Line Number
1745,Department Family
1745,Entity
1745,Date
1745,Expense Type
1745,Expense Area
1745,Supplier
1745,Transaction Number
1745,Amount
1745,Distribution Line Number
1746,Department Family
1746,Entity
1746,Date
1746,Expense Type
1746,Expense Area
1746,Supplier
1746,Transaction Number
1746,Amount
1746,Distribution Line Number
1747,Department Family
1747,Entity
1747,Date
1747,Expense Type
1747,Expense Area
1747,Supplier
1747,Transaction Number
1747,Amount
1747,Distribution Line Number
1748,Department Family
1748,Entity
1748,Date
1748,Expense Type
1748,Expense Area
1748,Supplier
1748,Transaction Number
1748,Amount
1748,Distribution Line Number
1749,Department Family
1749,Entity
1749,Date
1749,Expense Type
1749,Expense Area
1749,Supplier
1749,Transaction Number
1749,Amount
1749,Distribution Line Number
1750,Department Family
1750,Entity
1750,Date
1750,Expense Type
1750,Expense Area
1750,Supplier
1750,Transaction Number
1750,Amount
1750,Distribution Line Number
1751,Department Family
1751,Entity
1751,Date
1751,Expense Type
1751,Expense Area
1751,Supplier
1751,Transaction Number
1751,Amount
1751,Distribution Line Number
1752,Department Family
1752,Entity
1752,Date Paid
1752,Expense Area
1752,Expense Type
1752,Supplier Name
1752,Their Reference
1752,Amount
1753,Department Family
1753,Entity
1753,Date Paid
1753,Expense Area
1753,Expense Type
1753,Supplier Name
1753,Their Reference
1753,Amount
1754,Department Family
1754,Entity
1754,Date Paid
1754,9CCN - Level 9 Cost Centre Name
1754,9AN - Level 9 Account Name
1754,Supplier Name
1754,Their Reference
1754,Amount
1755,Department Family
1755,Entity
1755,Date Paid
1755,Expense Area
1755,Expense Type
1755,Supplier Name
1755,Their Reference
1755,Amount
1756,Department Family
1756,Entity
1756,Payment Date
1756,Expense Type
1756,Expense Area
1756,Supplier
1756,Transaction Number
1756,Amount
1757,Department Family
1757,Entity
1757,Payment Date
1757,Expense Type
1757,Expense Area
1757,Supplier
1757,Transaction Number
1757,Amount
1758,Department Family
1758,Entity
1758,Payment Date
1758,Expense Type
1758,Expense Area
1758,Supplier
1758,Transaction Number
1758,Amount
1759,Department Family
1759,Entity
1759,Payment Date
1759,Expense Type
1759,Expense Area
1759,Supplier
1759,Transaction Number
1759,Amount
1760,Department Family
1760,Entity
1760,Payment Date
1760,Expense Type
1760,Expense Area
1760,Supplier
1760,Transaction Number
1760,Amount
1761,Department Family
1761,Entity
1761,Payment Date
1761,Expense Type
1761,Expense Area
1761,Supplier
1761,Transaction Number
1761,Sum of Amount
1762,Department Family
1762,Entity
1762,Payment Date
1762,Expense Type
1762,Expense Area
1762,Supplier
1762,Transaction Number
1762,Sum of Amount
1763,Department Family
1763,Entity
1763,Payment Date
1763,Expense Type
1763,Expense Area
1763,Supplier
1763,Transaction Number
1763,Sum of Amount
1764,Department Family
1764,Entity
1764,Payment Date
1764,Expense Type
1764,Expense Area
1764,Supplier
1764,Transaction Number
1764,Sum of Amount
1765,Department Family
1765,Entity
1765,Payment Date
1765,Expense Type
1765,Expense Area
1765,Supplier
1765,Transaction Number
1765,Sum of Amount
1766,Department Family
1766,Entity
1766,Payment Date
1766,Expense Type
1766,Expense Area
1766,Supplier
1766,Transaction Number
1766,Sum of Amount
1767,Transaction reference number
1767,Posting Date
1767,Merchant Name
1767,Final Transaction Amount
1767,Description
1768,Transaction reference number
1768,Posting Date
1768,Merchant Name
1768,Final Transaction Amount
1768,Description
1769,Transaction reference number
1769,Posting Date
1769,Merchant Name
1769,Final Transaction Amount
1769,Description
1770,Transaction reference number
1770,Posting Date
1770,Merchant Name
1770,Final Transaction Amount
1770,Description
1771,Department Family
1771,Entity
1771,Date
1771,Expense Type
1771,Expense Area
1771,Supplier
1771,Transaction No
1771,Sum of Amount
1771,Item Text
1771,Postal Code
1772,Department Family
1772,Entity
1772,Date
1772,Expense Type
1772,Expense Area
1772,Supplier
1772,Transaction No
1772,Sum of Amount
1772,Item Text
1772,Postal Code
1773,Department Family
1773,Entity
1773,Date
1773,Expense Type
1773,Expense Area
1773,Supplier
1773,Transaction No
1773,Sum of Amount
1773,Item Text
1773,Postal Code
1774,Department Family
1774,Entity
1774,Date
1774,Expense Type
1774,Expense Area
1774,Supplier
1774,Transaction No
1774,Sum of Amount
1774,Item Text
1774,Postal Code
1775,Department Family
1775,Entity
1775,Date
1775,Expense Type
1775,Expense Area
1775,Supplier
1775,Transaction No
1775,Sum of Amount
1775,Item Text
1775,Postal Code
1776,Department Family
1776,Entity
1776,Date
1776,Expense Type
1776,Expense Area
1776,Supplier
1776,Transaction No
1776,Sum of Amount
1776,Item Text
1776,Postal Code
1777,Department Family
1777,Entity
1777,Date
1777,Expense Type
1777,Expense Area
1777,Supplier
1777,Transaction No
1777,Sum of Amount
1777,Text
1777,Postcode
1778,Department Family
1778,Entity
1778,Date
1778,Expense Type
1778,Expense Area
1778,Supplier
1778,Transaction No
1778,Sum of Amount
1778,Text
1778,Postcode
1779,Departmental Family
1779,Entity
1779,Date
1779,Expense Type
1779,Expense Area
1779,Supplier
1779,Transaction No
1779,Sum of Amount
1779,Text
1779,Postcode
1780,Departmental Family
1780,Entity
1780,Date
1780,Expense Type
1780,Expense Area
1780,Supplier
1780,Transaction No
1780,Sum of Amount
1780,Text
1780,Postcode
1781,Departmental Family
1781,Entity
1781,Date
1781,Expense Type
1781,Expense Area
1781,Supplier
1781,Transaction No
1781,Sum of Amount
1781,Text
1781,Postcode
1782,Department Family
1782,Entity
1782,Date
1782,Expense Type
1782,Expense Area
1782,Supplier
1782,Transaction No
1782,SumOfAmount
1782,Text
1782,Postcode
1783,Departmental Family
1783,Entity
1783,Date
1783,Expense Type
1783,Expense Area
1783,Supplier
1783,Transaction No
1783,Sum of Amount
1783,Text
1783,Postcode
1784,Department Family
1784,Entity
1784,Date
1784,Expense Type
1784,Expense Area
1784,Supplier
1784,Transaction No
1784,SumOfAmount
1784,Text
1784,Postcode
1785,Departmental Family
1785,Entity
1785,Date
1785,Expense Type
1785,Expense Area
1785,Supplier
1785,Transaction No
1785,Sum of Amount
1785,Text
1785,Postcode
1786,Department Family
1786,Entity
1786,Date
1786,Expense Type
1786,Expense Area
1786,Supplier
1786,Transaction No
1786,SumOfAmount
1786,Text
1786,Postcode
1787,Department Family
1787,Entity
1787,Date
1787,Expense Type
1787,Expense Area
1787,Supplier
1787,Transaction No
1787,SumOfAmount
1787,Text
1787,Postcode
1788,Department Family
1788,Entity
1788,Date
1788,Expense Type
1788,Expense Area
1788,Supplier
1788,Transaction No
1788,SumOfAmount
1788,Text
1788,Postcode
1789,Department Family
1789,Entity
1789,Date
1789,Expense Type
1789,Expense Area
1789,Supplier
1789,Transaction No
1789,SumOfAmount
1789,Text
1789,Postcode
1790,Department Family
1790,Entity
1790,Date
1790,Expense Type
1790,Expense Area
1790,Supplier
1790,Transaction No
1790,SumOfAmount
1790,Text
1790,Postcode
1791,Department Family
1791,Entity
1791,Date
1791,Expense Type
1791,Expense Area
1791,Supplier
1791,Transaction No
1791,SumOfAmount
1791,Text
1791,Postcode
1792,Department Family
1792,Entity
1792,Date
1792,Expense Type
1792,Expense Area
1792,Supplier
1792,Transaction No
1792,SumOfAmount
1792,Text
1792,Postcode
1792,Period
1793,Department Family
1793,Entity
1793,Date
1793,Expense Type
1793,Expense Area
1793,Supplier
1793,Transaction No
1793,SumOfAmount
1794,Department Family
1794,Entity
1794,Date
1794,Expense Type
1794,Expense Area
1794,Supplier
1794,Transaction Number
1794,Amount
1795,Department Family
1795,Entity
1795,Date
1795,Expense Type
1795,Expense Area
1795,Supplier
1795,Transaction Number
1795,Amount
1796,Department Family
1796,Entity
1796,Date
1796,Expense Type
1796,Expense Area
1796,Supplier
1796,Transaction Number
1796,Amount
1797,Department Family
1797,Entity
1797,Date
1797,Expense Type
1797,Expense Area
1797,Supplier
1797,Transaction No
1797,SumOfAmount
1798,Department Family
1798,Entity
1798,Date
1798,Expense Type
1798,Expense Area
1798,Supplier
1798,Transaction No
1798,Sum of Amount
1799,Department Family
1799,Entity
1799,Date
1799,Expense Type
1799,Expense Area
1799,Supplier
1799,Transaction No
1799,SumOfAmount
1800,Department Family
1800,Entity
1800,Date
1800,Expense Type
1800,Expense Area
1800,Supplier
1800,Transaction No
1800,SumOfAmount
1801,Department Family
1801,Entity
1801,Date
1801,Expense Type
1801,Expense Area
1801,Supplier
1801,Transaction No
1801,SumOfAmount
1802,Department Family
1802,Entity
1802,Date
1802,Expense Type
1802,Expense Area
1802,Supplier
1802,Transaction No
1802,SumOfAmount
1803,Department Family
1803,Entity
1803,Date
1803,Expense Type
1803,Expense Area
1803,Supplier
1803,Transaction Number
1803,Amount
1804,Department Family
1804,Entity
1804,Date
1804,Expense Type
1804,Expense Area
1804,Supplier
1804,Transaction Number
1804,Amount
1805,Department Family
1805,Entity
1805,Date
1805,Expense Type
1805,Expense Area
1805,Supplier
1805,Transaction Number
1805,Amount
1806,Department Family
1806,Entity
1806,Date
1806,Expense Type
1806,Expense Area
1806,Supplier
1806,Transaction Number
1806,Amount
1807,Department Family
1807,Entity
1807,Date
1807,Expense Type
1807,Expense Area
1807,Supplier
1807,Transaction Number
1807,Amount
1808,Entity
1808,Merchant Name
1808,Date Posted
1808,Billing Amount
1808,Description
1809,Entity
1809,Merchant Name
1809,Date Posted
1809,Billing Amount
1809,Description
1810,Entity
1810,Merchant Name
1810,Date Posted
1810,Billing Amount
1810,Description
1811,Entity
1811,Merchant Name
1811,Date Posted
1811,Billing Amount
1811,Description
1812,Entity
1812,Merchant Name
1812,Date Posted
1812,Billing Amount
1812,Description
1813,Unit
1813,Merchant Name
1813,Date Posted
1813,Billing Amount
1813,Description
1814,Unit
1814,Merchant Name
1814,Date Posted
1814,Billing Amount
1814,Description
1815,Entity
1815,Merchant Name
1815,Date Posted
1815,Billing Amount
1815,Description
1816,Unit
1816,Merchant Name
1816,Date Posted
1816,Billing Amount
1816,Description
1817,Unit
1817,Merchant Name
1817,Date Posted
1817,Billing Amount
1817,Description
1818,Entity
1818,Merchant Name
1818,Date Posted
1818,Billing Amount
1818,Description
1819,Entity
1819,Merchant Name
1819,Date Posted
1819,Billing Amount
1819,Description
1820,Entity
1820,Merchant Name
1820,Date Posted
1820,Billing Amount
1820,Description
1821,Entity
1821,Merchant
1821,Date Posted
1821,Amount
1821,Description
1822,Entity
1822,Merchant
1822,Date Posted
1822,Amount
1822,Description
1823,Entity
1823,Merchant
1823,Date Posted
1823,Amount
1823,Description
1824,Entity
1824,Merchant Name
1824,Date Posted
1824,Amount
1824,Description of Product
1825,Entity
1825,Merchant
1825,Date Posted
1825,Amount
1825,Description
1826,Entity
1826,Merchant
1826,Date Posted
1826,Amount
1826,Description
1827,Entity
1827,Merchant
1827,Date Posted
1827,Amount
1827,Description
1828,Entity
1828,Merchant
1828,Date Posted
1828,Amount
1828,Description
1829,Entity
1829,Merchant
1829,Date Posted
1829,Amount
1829,Description
1830,Department
1830,Project name
1830,Total Value requested (£M)
1830,Total Value Approved (£M)
1830,Basis for Exception
1830,Date of Update
1831,Department
1831,Activity
1831,Value (£)
1831,Basis for Exception
1831,Date of Update
1832,Department
1832,Moratorium
1832,Project Name/ Activity
1832,Value (£)
1832,Basis for Exception
1832,Date of Update
1833,Project name
1833,Basis for Exception
1833, Value requested 
1833, Value Approved 
1833,Date
1834,Department
1834,Basis for Exception
1834, Value 
1834,Approval month
1835,Department
1835,Basis for Exception
1835, Value 
1835,Approval month
1836,Department
1836,Property
1836,Basis for Exception
1836,Amount
1836,Date
1837,Department
1837,Organisation Name
1837,Basis for Exception
1837, Value requested 
1837, Value Approved 
1837,Approval month
1838,Department
1838,Organisation Name
1838,Basis for Exception
1838, Value 
1838,Approval month
1839,Department/organisation name
1839,Grade (Headcount) AA/AO
1839,Grade (FTE)
1839,Grade (Headcount) EO
1839,Grade (FTE)
1839,Grade (Headcount) HEO/SEO
1839,Grade (FTE)
1839,Grade (Headcount) Grade6/7
1839,Grade (FTE)
1839,SCS level (Headcount)
1839,SCS level (FTE)
1839,Unknown/Other (Headcount)
1839,Unknown/Other(FTE)
1839,Total exemptions (Headcount)
1839,Total exemptions (FTE)
1839,Date of Update
1840,Senior official
1840,Job Title
1840,Date
1840,Organisation Name
1840,Type of hospitality received
1841,Senior official
1841,Job Title
1841,Date
1841,Organisation Name
1841,Type of hospitality received
1842,Senior official
1842,Job Title
1842,Date
1842,Organisation Name
1842,Type of hospitality received
1843,Senior official
1843,Job Title
1843,Date
1843,Organisation Name
1843,Type of hospitality received
1844,Senior official
1844,Job Title
1844,Date
1844,Organisation Name
1844,Type of hospitality received
1845,Senior official
1845,Job Title
1845,Date
1845,Organisation Name
1845,Type of hospitality received
1846,Senior official
1846,Job Title
1846,Date
1846,Organisation Name
1846,Type of hospitality received
1847,Senior official
1847,Job Title
1847,Date
1847,Organisation Name
1847,Type of hospitality received
1848,Senior official
1848,Job Title
1848,Date
1848,Organisation Name
1848,Type of hospitality received
1849,Senior official or Non-Executive Director
1849,Job Title
1849,Dates
1849,Destination
1849,Purpose
1849,Air travel
1849,Rail/Tube travel
1849,Taxi/Car travel
1849,Accommodation/Meals travel
1849,Other (including hospitality given)
1849,Total cost £
1850,Senior Official/NED
1850,Job Title
1850,Dates
1850,Destination
1850,Purpose
1850,Air travel
1850,Rail/Tube travel
1850,Taxi/Car travel
1850,Accommodation/Meals travel
1850,Other (including hospitality given)
1850,Total Cost ?
1851,Senior official or Non-Executive Director
1851,Job Title
1851,Dates
1851,Destination
1851,Purpose
1851,Air travel
1851,Rail/Tube travel
1851,Taxi/Car travel
1851,Accommodation/Meals travel
1851,Other (including hospitality given)
1851,Total cost £
1852,Senior official or Non-Executive Director
1852,Job Title
1852,Dates
1852,Destination
1852,Purpose
1852,Air travel
1852,Rail/Tube travel
1852,Taxi/Car travel
1852,Accommodation/Meals travel
1852,Other (including hospitality given)
1852,Total cost £
1853,Senior official or Non-Executive Director
1853,Job Title
1853,Dates
1853,Destination
1853,Purpose
1853,Air travel
1853,Rail/Tube travel
1853,Taxi/Car travel
1853,Accommodation/Meals travel
1853,Other (including hospitality given)
1853,Total cost £
1854,Senior official or Non-Executive Director
1854,Job Title
1854,Dates
1854,Destination
1854,Purpose
1854,Air travel
1854,Rail/Tube travel
1854,Taxi/Car travel
1854,Accommodation/Meals travel
1854,Other (including hospitality given)
1854,Total cost £
1855,Senior official or Non-Executive Director
1855,Job Title
1855,Dates
1855,Destination
1855,Purpose
1855,Air travel
1855,Rail/Tube travel
1855,Taxi/Car travel
1855,Accommodation/Meals travel
1855,Other (including hospitality given)
1855,Total cost £
1856,Senior official or Non-Executive Director
1856,Job Title
1856,Dates
1856,Destination
1856,Purpose
1856,Air travel
1856,Rail/Tube travel
1856,Taxi/Car travel
1856,Accommodation/Meals travel
1856,Other (including hospitality given)
1856,Total cost £
1857,Senior official or Non-Executive Director
1857,Job Title
1857,Dates
1857,Destination
1857,Purpose
1857,Air travel
1857,Rail/Tube travel
1857,Taxi/Car travel
1857,Accommodation/Meals travel
1857,Other (including hospitality given)
1857,Total cost £
1858,Senior official or Non-Executive Director
1858,Job Title
1858,Dates
1858,Destination
1858,Purpose
1858,Air travel
1858,Rail/Tube travel
1858,Taxi/Car travel
1858,Accommodation/Meals
1858,Other (including hospitality given)
1858,Total cost £
1859,Senior official or Non-Executive Director
1859,Job Title
1859,Dates
1859,Destination
1859,Purpose
1859,Air travel
1859,Rail/Tube travel
1859,Taxi/Car travel
1859,Accommodation/Meals travel
1859,Other (including hospitality given)
1859,Total cost £
1860,Senior official or Non-Executive Director
1860,Job Title
1860,Dates
1860,Destination
1860,Purpose
1860,Air travel
1860,Rail/Tube travel
1860,Taxi/Car travel
1860,Accommodation/Meals travel
1860,Other (including hospitality given)
1860,Total cost £
1861,Permanent Secretary
1861,Month of Meeting
1861,Name of External Organisation
1861,Purpose of meeting
1862,Permanent Secretary
1862,Month of Meeting
1862,Name of External Organisation
1862,Purpose of meeting
1863,Permanent Secretary
1863,Month of Meeting
1863,Name of External Organisation
1863,Purpose of meeting
1864,Minister
1864,Date of Hospitality
1864,Name of Organisation
1864,Type of hospitality received
1865,Name of Special Adviser
1865,Date of Hospitality
1865,Name of Organisation
1865,Type of hospitality received
1866,Minister
1866,Date of Hospitality
1866,Name of Organisation
1866,Type of hospitality received
1867,Name of Special Adviser
1867,Date of Hospitality
1867,Name of Organisation
1867,Type of hospitality received
1868,Name of Special Adviser
1868,Date of Hospitality
1868,Name of Organisation
1868,Type of hospitality received
1869,Minister
1869,Date of Hospitality
1869,Name of Organisation
1869,Type of hospitality received
1870,Minister
1870,Date of Hospitality
1870,Name of Organisation
1870,Type of hospitality received
1871,Name of Special Adviser
1871,Date of Hospitality
1871,Name of Organisation
1871,Type of hospitality received
1872,Minister
1872,Date of Hospitality
1872,Name of Organisation
