date.s..conducted,polling.organisation.client,sample.size,cons,lab,lib.dem,ukip,others,lead,sortdate,year
30 Jun-1 Jul,YouGov/Sunday Times,2785,36,42,9,3,10,6,01/07/2011,2011
3-4 Jul,YouGov/The Sun,2864,37,43,9,3,9,6,04/07/2011,2011
4-5 Jul,YouGov/The Sun,2738,35,43,10,3,9,8,05/07/2011,2011
5-6 Jul,YouGov/The Sun,2839,35,43,9,3,10,8,06/07/2011,2011
6-7 Jul,YouGov/The Sun,2759,37,43,8,3,9,6,07/07/2011,2011
7-8 Jul,YouGov/Sunday Times,2741,35,44,8,3,10,9,08/07/2011,2011
10-11 Jul,YouGov/The Sun,2571,35,43,10,3,9,8,11/07/2011,2011
11-12 Jul,YouGov/The Sun,2655,37,42,9,3,9,5,12/07/2011,2011
12-13 Jul,YouGov/The Sun,2578,35,43,10,3,9,8,13/07/2011,2011
13-14 Jul,YouGov/The Sun,2577,36,43,9,3,8,7,14/07/2011,2011
13-14 Jul,ComRes/The Independent on Sunday/Sunday Mirror,2009,36,40,10,3,11,4,14/07/2011,2011
14-15 Jul,YouGov/Sunday Times,2046,36,42,11,3,8,6,15/07/2011,2011
15-17 Jul,ICM/The Guardian,1003,37,36,16,3,8,1,17/07/2011,2011
17-18 Jul,YouGov/The Sun,2810,37,42,9,4,8,5,18/07/2011,2011
16-18 Jul,Ipsos MORI/Reuters,1001,32,39,11,4,14,7,18/07/2011,2011
18-19 Jul,YouGov/The Sun,2696,36,43,8,5,8,7,19/07/2011,2011
19-20 Jul,YouGov/The Sun,2853,35,43,11,6,5,8,20/07/2011,2011
19-20 Jul,Angus Reid Public Opinion,2002,34,41,10,6,10,7,20/07/2011,2011
20-21 Jul,YouGov/The Sun,2684,36,44,9,5,7,8,21/07/2011,2011
21-22 Jul,YouGov/Sunday Times,2749,35,43,10,5,7,8,22/07/2011,2011
22-24 Jul,ComRes/The Independent,1002,34,40,13,4,9,6,24/07/2011,2011
24-25 Jul,YouGov/The Sun,2783,37,41,10,4,8,4,25/07/2011,2011
25-26 Jul,YouGov/The Sun,2615,35,44,9,4,8,9,26/07/2011,2011
26-27 Jul,YouGov/The Sun,2733,36,43,8,4,9,7,27/07/2011,2011
27-28 Jul,YouGov/The Sun,2699,36,42,11,4,7,6,28/07/2011,2011
28-29 Jul,YouGov/Sunday Times,2529,35,44,10,4,8,9,29/07/2011,2011
31 Jul-1 Aug,YouGov/The Sun,2820,35,42,11,5,7,7,01/08/2011,2011
1-2 Aug,YouGov/The Sun,2776,36,45,8,5,6,9,02/08/2011,2011
2-3 Aug,YouGov/The Sun,2657,35,43,10,5,6,8,03/08/2011,2011
3-4 Aug,YouGov/The Sun,2748,36,42,10,5,7,6,04/08/2011,2011
4-5 Aug,YouGov/Sunday Times,2425,35,44,9,5,7,9,05/08/2011,2011
7-8 Aug,YouGov/The Sun,2743,36,44,9,6,6,8,08/08/2011,2011
8-9 Aug,YouGov/The Sun,2864,36,43,9,6,7,7,09/08/2011,2011
9-10 Aug,YouGov/The Sun,2700,36,43,9,7,6,7,10/08/2011,2011
10-11 Aug,YouGov/The Sun,2075,35,43,9,7,6,8,11/08/2011,2011
9-11 Aug,Opinium,1963,34,38,9,8,11,4,11/08/2011,2011
11-12 Aug,YouGov/Sunday Times,2656,36,43,9,7,5,7,12/08/2011,2011
14-15 Aug,YouGov/The Sun,2847,35,43,9,6,7,8,15/08/2011,2011
15-16 Aug,YouGov/The Sun,2665,36,42,10,6,6,6,16/08/2011,2011
16-17 Aug,YouGov/The Sun,2783,35,44,9,5,7,9,17/08/2011,2011
17-18 Aug,YouGov/The Sun,2608,36,44,9,5,7,8,18/08/2011,2011
17-18 Aug,ComRes/The Independent on Sunday/Sunday Mirror,2028,38,40,11,5,6,2,18/08/2011,2011
18-19 Aug,YouGov/Sunday Times,2464,36,40,11,3,10,4,19/08/2011,2011
16-19 Aug,Opinium,1978,37,38,9,6,11,1,19/08/2011,2011
19-21 Aug,ICM/The Guardian,1004,37,36,17,2,8,1,21/08/2011,2011
21-22 Aug,YouGov/The Sun,2619,35,44,9,3,9,9,22/08/2011,2011
20-22 Aug,Ipsos MORI/Reuters,1002,34,40,15,2,9,6,22/08/2011,2011
22-23 Aug,YouGov/The Sun,2585,37,44,9,3,7,7,23/08/2011,2011
23-24 Aug,YouGov/The Sun,2709,36,43,9,3,10,7,24/08/2011,2011
24-25 Aug,YouGov/The Sun,2530,37,42,9,4,8,5,25/08/2011,2011
25-26 Aug,YouGov/The Sunday Times,2657,38,41,9,4,9,3,26/08/2011,2011
29-30 Aug,YouGov/The Sun,2449,39,40,10,5,6,1,30/08/2011,2011
30-31 Aug,YouGov/The Sun,2783,37,42,10,5,7,5,31/08/2011,2011
31 Aug - 1 Sep,YouGov/The Sun,2588,36,42,10,5,7,6,01/09/2011,2011
1-2 Sep,Angus Reid Public Opinion,2005,33,39,11,7,11,6,02/09/2011,2011
1-2 Sep,YouGov/The Sunday Times,2696,38,39,10,6,7,1,02/09/2011,2011
2-4 Sep,ComRes/The Independent,1000,37,38,11,2,12,1,04/09/2011,2011
4-5 Sep,YouGov/The Sun,2796,37,43,9,6,6,6,05/09/2011,2011
2-5 Sep,Opinium,1952,36,37,9,7,11,1,05/09/2011,2011
5-6 Sep,YouGov/The Sun,2552,38,40,9,5,8,2,06/09/2011,2011
6-7 Sep,YouGov/The Sun,2554,36,42,9,5,9,6,07/09/2011,2011
7-8 Sep,YouGov/The Sun,2627,36,42,10,4,8,6,08/09/2011,2011
8-9 Sep,YouGov/Sunday Times,2724,38,41,9,4,7,3,09/09/2011,2011
9-11 Sep,Populus/The Times,1503,34,38,12,3,13,4,11/09/2011,2011
11-12 Sep,YouGov/The Sun,2655,37,41,10,4,7,4,12/09/2011,2011
10-12 Sep,Ipsos MORI/Reuters,1008,35,37,13,3,12,2,12/09/2011,2011
12-13 Sep,YouGov/The Sun,2429,35,43,10,5,7,8,13/09/2011,2011
13-14 Sep,YouGov/The Sun,2619,37,41,10,5,8,4,14/09/2011,2011
14-15 Sep,YouGov/The Sun,2731,38,41,9,5,7,3,15/09/2011,2011
13-15 Sep,Opinium,1960,33,36,9,8,14,3,15/09/2011,2011
15-16 Sep,YouGov/Sunday Times,2474,36,42,9,5,8,6,16/09/2011,2011
18-19 Sep,YouGov/The Sun,2611,36,42,10,4,8,6,19/09/2011,2011
19-20 Sep,YouGov/The Sun,2468,36,41,10,4,8,5,20/09/2011,2011
20-21 Sep,YouGov/The Sun,2601,35,41,9,3,11,6,21/09/2011,2011
20-21 Sep,ICM/The Guardian,1007,37,38,14,3,9,1,21/09/2011,2011
21-22 Sep,YouGov/The Sun,2456,36,42,10,3,9,6,22/09/2011,2011
22-23 Sep,YouGov/Sunday Times,2636,36,42,11,3,8,6,23/09/2011,2011
23-25 Sep,ComRes/The Independent,1000,37,36,12,4,11,1,25/09/2011,2011
25-26 Sep,YouGov/The Sun,2500,39,41,8,4,8,2,26/09/2011,2011
26-27 Sep,YouGov/The Sun,2754,37,43,8,4,8,6,27/09/2011,2011
27-28 Sep,YouGov/The Sun,2627,37,43,9,4,6,6,28/09/2011,2011
28-29 Sep,YouGov/The Sun,2547,38,41,9,4,6,3,29/09/2011,2011
29-30 Sep,YouGov/Sunday Times,2333,36,42,10,6,6,6,30/09/2011,2011
27-30 Sep,Opinium,1947,33,40,9,6,12,7,30/09/2011,2011
2-3 Oct,YouGov/The Sun,2747,37,42,9,6,6,5,03/10/2011,2011
3-4 Oct,YouGov/The Sun,2525,38,42,9,6,6,4,04/10/2011,2011
4-5 Oct,YouGov/The Sun,2644,37,41,9,6,7,4,05/10/2011,2011
5-6 Oct,YouGov/The Sun,2723,37,41,10,6,6,4,06/10/2011,2011
6-7 Oct,YouGov/Sunday Times,2448,38,42,9,6,6,4,07/10/2011,2011
9-10 Oct,YouGov/The Sun,2740,36,40,11,7,6,4,10/10/2011,2011
7-10 Oct,Opinium,1962,36,37,8,7,12,1,10/10/2011,2011
10-11 Oct,YouGov/The Sun,2526,37,41,8,7,7,4,11/10/2011,2011
11-12 Oct,YouGov/The Sun,2640,36,42,9,6,8,6,12/10/2011,2011
12-13 Oct,YouGov/The Sun,2495,37,42,9,6,6,5,13/10/2011,2011
12-13 Oct,ComRes/The Independent on Sunday/Sunday Mirror,2004,37,39,10,6,8,2,13/10/2011,2011
13-14 Oct,YouGov/Sunday Times,2464,39,42,8,6,5,3,14/10/2011,2011
14-16 Oct,Populus/The Times,1511,33,41,8,5,7,8,16/10/2011,2011
16-17 Oct,YouGov/The Sun,1629,37,40,9,5,9,3,17/10/2011,2011
17-18 Oct,YouGov/The Sun,1638,38,42,9,5,6,4,18/10/2011,2011
18-19 Oct,YouGov/The Sun,1739,35,41,9,5,9,6,19/10/2011,2011
19-20 Oct,YouGov/The Sun,1675,36,41,10,5,8,5,20/10/2011,2011
20-21 Oct,YouGov/Sunday Times,1727,36,38,10,5,11,2,21/10/2011,2011
21-23 Oct,Angus Reid Public Opinion,2003,33,41,10,7,10,8,23/10/2011,2011
21-23 Oct,ICM/The Guardian,1003,35,39,13,3,10,4,23/10/2011,2011
23-24 Oct,YouGov/The Sun,1764,36,40,9,4,10,4,24/10/2011,2011
22-24 Oct,Ipsos MORI/Reuters,1002,34,38,12,4,11,4,24/10/2011,2011
21-24 Oct,Opinium,1957,33,39,9,8,11,6,24/10/2011,2011
24-25 Oct,YouGov/The Sun,1717,36,40,9,4,11,4,25/10/2011,2011
25-26 Oct,YouGov/The Sun,1672,35,41,10,4,11,6,26/10/2011,2011
26-27 Oct,YouGov/The Sun,1672,35,42,9,4,10,7,27/10/2011,2011
27-28 Oct,YouGov/Sunday Times,1676,36,39,8,4,12,3,28/10/2011,2011
28-30 Oct,ComRes/The Independent,1001,34,38,14,4,10,4,30/10/2011,2011
30-31 Oct,YouGov/The Sun,1702,39,41,8,4,9,2,31/10/2011,2011
27-31 Oct,TNS-BMRB,1261,36,37,11,4,12,1,31/10/2011,2011
31 Oct - 1 Nov,YouGov/The Sun,1673,35,41,9,5,10,6,01/11/2011,2011
1-2 Nov,YouGov/The Sun,1718,37,41,8,6,7,4,02/11/2011,2011
2-3 Nov,YouGov/The Sun,1678,36,41,8,7,8,5,03/11/2011,2011
3-4 Nov,YouGov/Sunday Times,1561,35,41,9,5,10,6,04/11/2011,2011
6-7 Nov,YouGov/The Sun,1715,36,41,9,6,7,5,07/11/2011,2011
4-7 Nov,Opinium,1962,34,38,10,6,12,4,07/11/2011,2011
7-8 Nov,YouGov/The Sun,1703,35,40,10,6,8,5,08/11/2011,2011
8-9 Nov,YouGov/The Sun,1796,36,40,10,7,7,4,09/11/2011,2011
9-10 Nov,YouGov/The Sun,1737,35,42,8,7,8,7,10/11/2011,2011
10-11 Nov,YouGov/The Sunday Times,1751,36,41,9,5,9,5,11/11/2011,2011
13-14 Nov,YouGov/The Sun,1780,37,40,9,6,7,3,14/11/2011,2011
14-15 Nov,YouGov/The Sun,1682,36,42,7,5,8,6,15/11/2011,2011
15-16 Nov,YouGov/The Sun,1684,36,41,10,6,7,5,16/11/2011,2011
16-17 Nov,YouGov/The Sun,1741,34,40,11,7,8,6,17/11/2011,2011
17-18 Nov,YouGov/The Sunday Times,1700,36,40,9,7,8,4,18/11/2011,2011
18-20 Nov,Populus/The Times,1501,33,41,13,4,9,8,20/11/2011,2011
18-20 Nov,ICM/The Guardian,1005,36,38,14,4,8,2,20/11/2011,2011
20-21 Nov,YouGov/The Sun,1748,36,40,9,7,8,4,21/11/2011,2011
19-21 Nov,Ipsos MORI/Reuters,1006,34,41,12,3,10,7,21/11/2011,2011
18-21 Nov,Opinium,1963,36,37,9,7,11,1,21/11/2011,2011
21-22 Nov,YouGov/The Sun,1714,35,42,9,6,8,7,22/11/2011,2011
22-23 Nov,YouGov/The Sun,1700,35,40,11,6,8,5,23/11/2011,2011
23-24 Nov,Angus Reid Public Opinion,2006,33,42,8,7,10,9,24/11/2011,2011
23-24 Nov,YouGov/The Sun,1718,35,40,9,8,8,5,24/11/2011,2011
24-25 Nov,YouGov/The Sunday Times,1696,34,43,11,5,7,9,25/11/2011,2011
25-27 Nov,ComRes/The Independent,1001,37,39,10,3,11,2,27/11/2011,2011
27-28 Nov,YouGov/The Sun,1723,37,39,9,6,8,2,28/11/2011,2011
28-29 Nov,YouGov/The Sun,1742,38,41,9,5,7,3,29/11/2011,2011
29-30 Nov,YouGov/The Sun,1769,37,42,9,6,7,5,30/11/2011,2011
29-30 Nov,ICM/The Sunday Telegraph,1005,38,36,14,2,10,2,30/11/2011,2011
30 Nov - 1 Dec,YouGov/The Sun,1748,36,41,11,4,8,5,01/12/2011,2011
1-2 Dec,YouGov/The Sunday Times,1702,35,43,9,6,13,8,02/12/2011,2011
4-5 Dec,YouGov/The Sun,1699,36,42,11,4,7,6,05/12/2011,2011
5-6 Dec,YouGov/The Sun,1686,37,41,10,5,7,4,06/12/2011,2011
6-7 Dec,YouGov/The Sun,1757,35,42,9,6,8,7,07/12/2011,2011
8-9 Dec,YouGov/The Sunday Times,1698,38,39,11,5,8,1,09/12/2011,2011
9-11 Dec,ComRes/The Independent,1002,38,38,12,2,10,0,11/12/2011,2011
11-12 Dec,YouGov/The Sun,1724,39,40,10,4,8,1,12/12/2011,2011
10-12 Dec,Ipsos MORI/Reuters,1001,41,39,11,4,5,2,12/12/2011,2011
12-13 Dec,YouGov/The Sun,1704,41,39,10,3,7,2,13/12/2011,2011
13-14 Dec,YouGov/The Sun,1751,40,38,10,5,7,2,14/12/2011,2011
14-15 Dec,YouGov/The Sun,1744,41,40,10,4,6,1,15/12/2011,2011
14-15 Dec,ICM/The Sunday Telegraph,1008,40,34,14,3,8,6,15/12/2011,2011
15-16 Dec,YouGov/The Sunday Times,1724,39,42,9,4,7,3,16/12/2011,2011
16-18 Dec,Populus/The Times,1516,35,39,12,2,13,4,18/12/2011,2011
18-19 Dec,YouGov/The Sun,1721,38,42,9,3,7,4,19/12/2011,2011
16-19 Dec,TNS-BMRB,1231,35,38,11,3,13,3,19/12/2011,2011
19-20 Dec,YouGov/The Sun,1759,39,40,10,4,7,1,20/12/2011,2011
20-21 Dec,YouGov/The Sun,1767,40,40,10,4,7,0,21/12/2011,2011
20-21 Dec,ICM/The Guardian,1003,37,36,15,3,10,1,21/12/2011,2011
21-22 Dec,YouGov/The Sun,1721,40,40,9,4,7,0,22/12/2011,2011
2-3 Jan,YouGov/The Sun,1762,39,41,9,4,8,2,03/01/2012,2012
3-4 Jan,YouGov/The Sun,1772,38,42,10,5,6,4,04/01/2012,2012
4-5 Jan,YouGov/The Sun,1766,39,41,11,3,6,2,05/01/2012,2012
3-5 Jan,Opinium,1963,36,37,9,7,11,1,05/01/2012,2012
5-6 Jan,YouGov/The Sunday Times,1715,38,40,10,5,7,2,06/01/2012,2012
8-9 Jan,YouGov/The Sun,1727,39,41,10,3,7,2,09/01/2012,2012
9-10 Jan,YouGov/The Sun,1767,40,40,10,4,6,0,10/01/2012,2012
10-11 Jan,YouGov/The Sun,1709,40,38,10,4,8,2,11/01/2012,2012
11-12 Jan,YouGov/The Sun,1761,41,40,8,4,6,1,12/01/2012,2012
12-13 Jan,YouGov/The Sunday Times,1761,38,40,9,5,9,2,13/01/2012,2012
13-15 Jan,Opinium,1983,37,37,9,6,12,0,15/01/2012,2012
15-16 Jan,YouGov/The Sun,1726,40,40,9,5,6,0,16/01/2012,2012
15-17 Jan,YouGov/The Sun,1707,39,40,8,4,8,1,17/01/2012,2012
17-18 Jan,YouGov/The Sun,1699,40,39,7,5,8,1,18/01/2012,2012
18-19 Jan,ComRes/Independent on Sunday,2050,38,38,11,5,8,0,19/01/2012,2012
18-19 Jan,YouGov/The Sun,1752,41,38,8,6,7,3,19/01/2012,2012
19-20 Jan,YouGov/The Sunday Times,1711,41,36,9,5,9,5,20/01/2012,2012
20-22 Jan,Populus/The Times,1503,37,38,13,2,10,1,22/01/2012,2012
20-22 Jan,ICM/The Guardian,1003,40,35,16,2,7,5,22/01/2012,2012
22-23 Jan,Angus Reid Public Opinion,2009,35,37,11,6,10,2,23/01/2012,2012
22-23 Jan,YouGov/The Sun,1766,39,40,8,6,6,1,23/01/2012,2012
21-23 Jan,Ipsos MORI/Reuters,1007,38,38,12,3,9,0,23/01/2012,2012
20-23 Jan,TNS-BMRB,1300,37,40,10,2,11,3,23/01/2012,2012
23-24 Jan,YouGov/The Sun,1693,40,38,9,5,8,2,24/01/2012,2012
24-25 Jan,YouGov/The Sun,1715,38,40,9,6,7,2,25/01/2012,2012
26-27 Jan,YouGov/The Sunday Times,1716,39,40,8,5,7,1,27/01/2012,2012
27-29 Jan,ComRes/The Independent,1001,37,38,14,2,9,1,29/01/2012,2012
29-30 Jan,YouGov/The Sun,1977,40,38,10,5,7,2,30/01/2012,2012
27-30 Jan,Opinium,1958,38,36,8,6,12,2,30/01/2012,2012
30-31 Jan,YouGov/The Sun,1722,39,40,9,4,8,1,31/01/2012,2012
31 Jan - 1 Feb,YouGov/The Sun,1701,38,40,8,5,8,2,01/02/2012,2012
1-2 Feb,YouGov/The Sun,1654,39,41,8,5,7,2,02/02/2012,2012
2-3 Feb,YouGov/The Sunday Times,1659,39,40,9,5,7,1,03/02/2012,2012
5-6 Feb,YouGov/The Sun,1697,41,40,8,5,6,1,06/02/2012,2012
6-7 Feb,YouGov/The Sun,1651,37,42,9,5,8,5,07/02/2012,2012
7-8 Feb,YouGov/The Sun,1763,40,38,10,4,8,2,08/02/2012,2012
8-9 Feb,YouGov/The Sun,1644,38,41,9,4,7,3,09/02/2012,2012
9-10 Feb,YouGov/The Sunday Times,1753,38,39,9,4,10,1,10/02/2012,2012
12-13 Feb,YouGov/The Sun,1772,38,42,9,4,7,4,13/02/2012,2012
10-13 Feb,Opinium,1960,36,36,10,7,11,0,13/02/2012,2012
13-14 Feb,YouGov/The Sun,1725,40,39,9,5,8,1,14/02/2012,2012
14-15 Feb,YouGov/The Sun,1828,39,40,9,5,7,1,15/02/2012,2012
15-16 Feb,ComRes/The Independent on Sunday/Sunday Mirror,2014,39,38,10,6,7,1,16/02/2012,2012
15-16 Feb,YouGov/The Sun,1738,39,39,9,5,8,0,16/02/2012,2012
16-17 Feb,YouGov/The Sunday Times,1772,37,41,7,6,9,4,17/02/2012,2012
17-19 Feb,ICM/The Guardian,1013,36,37,14,3,10,1,19/02/2012,2012
19-20 Feb,YouGov/The Sun,1764,39,38,10,5,8,1,20/02/2012,2012
20-21 Feb,YouGov/The Sun,1715,37,41,9,5,8,4,21/02/2012,2012
21-22 Feb,YouGov/The Sun,1731,38,40,8,5,10,2,22/02/2012,2012
22-23 Feb,YouGov/The Sun,1690,39,38,10,4,10,1,23/02/2012,2012
21-23 Feb,Opinium,1959,35,39,10,6,13,4,23/02/2012,2012
23-24 Feb,YouGov/The Sunday Times,1697,38,40,10,5,7,2,24/02/2012,2012
24-26 Feb,ComRes/The Independent,1001,37,40,13,2,8,3,26/02/2012,2012
26-27 Feb,YouGov/The Sun,1741,38,40,9,6,7,2,27/02/2012,2012
25-27 Feb,Ipsos MORI/Reuters,1002,35,41,12,2,10,6,27/02/2012,2012
27-28 Feb,YouGov/The Sun,1729,40,39,9,5,7,1,28/02/2012,2012
28-29 Feb,YouGov/The Sun,1778,38,40,9,5,8,2,29/02/2012,2012
29 Feb - 1 Mar,YouGov/The Sun,1787,39,39,8,5,9,0,01/03/2012,2012
1-2 Mar,YouGov/The Sunday Times,1664,40,39,9,5,7,1,02/03/2012,2012
4-5 Mar,YouGov/The Sun,1729,36,41,11,5,8,5,05/03/2012,2012
2-5 Mar,TNS-BMRB,1198,35,38,11,8,8,3,05/03/2012,2012
5-6 Mar,YouGov/The Sun,1736,37,41,9,6,7,4,06/03/2012,2012
6-7 Mar,Angus Reid Public Opinion,2018,32,40,10,7,11,8,07/03/2012,2012
6-7 Mar,YouGov/The Sun,1723,38,41,9,6,6,3,07/03/2012,2012
7-8 Mar,YouGov/The Sun,1730,37,42,8,4,8,5,08/03/2012,2012
8-9 Mar,YouGov/The Sunday Times,1707,37,42,9,5,7,5,09/03/2012,2012
11-12 Mar,YouGov/The Sun,1801,36,41,9,6,8,5,12/03/2012,2012
9-12 Mar,Opinium,1955,38,36,10,7,9,2,12/03/2012,2012
12-13 Mar,YouGov/The Sun,1747,36,43,9,5,7,7,13/03/2012,2012
13-14 Mar,YouGov/The Sun,1738,38,41,9,5,7,3,14/03/2012,2012
14-15 Mar,ComRes/The Independent on Sunday/Sunday Mirror,2010,37,40,10,5,13,3,15/03/2012,2012
14-15 Mar,YouGov/The Sun,1741,37,42,8,5,8,5,15/03/2012,2012
15-16 Mar,YouGov/The Sunday Times,1727,38,40,9,5,9,2,16/03/2012,2012
16-18 Mar,ICM/The Guardian,1000,39,36,15,4,6,3,18/03/2012,2012
18-19 Mar,YouGov/The Sun,1685,36,42,9,5,8,6,19/03/2012,2012
17-19 Mar,Ipsos MORI/Evening Standard,1014,36,37,11,7,8,1,19/03/2012,2012
19-20 Mar,YouGov/The Sun,1748,35,43,9,4,9,8,20/03/2012,2012
20-21 Mar,YouGov/The Sun,1757,36,41,10,5,8,5,21/03/2012,2012
21-22 Mar,YouGov/The Sun,1835,34,42,9,6,9,8,22/03/2012,2012
22-23 Mar,YouGov/The Sunday Times,1721,35,42,10,6,8,7,23/03/2012,2012
22-23 Mar,ICM/Sunday Telegraph,1000,37,38,13,4,9,1,23/03/2012,2012
22-24 Mar,Survation/The Mail on Sunday,1097,31,39,11,9,10,8,24/03/2012,2012
23-25 Mar,Populus/The Times,1500,34,38,11,3,13,4,25/03/2012,2012
25-26 Mar,Survation/Mail on Sunday,1097,31,39,11,8,11,8,26/03/2012,2012
25-26 Mar,YouGov/The Sun,1734,35,42,9,6,8,7,26/03/2012,2012
23-26 Mar,ComRes/The Independent,1010,33,43,11,3,10,10,26/03/2012,2012
26-27 Mar,YouGov/The Sun,1682,33,43,9,7,8,10,27/03/2012,2012
27-28 Mar,YouGov/The Sun,1807,34,44,10,6,6,10,28/03/2012,2012
28-29 Mar,YouGov/The Sun,1701,34,44,8,5,9,10,29/03/2012,2012
30-31 Mar,YouGov/The Sunday Times,1567,33,42,8,7,10,9,31/03/2012,2012
1-2 Apr,YouGov/The Sun,1732,33,43,8,6,10,10,02/04/2012,2012
2-3 Apr,YouGov/The Sun,1744,34,42,8,6,9,8,03/04/2012,2012
3-4 Apr,YouGov/The Sun,1742,32,42,9,8,9,10,04/04/2012,2012
4-5 Apr,YouGov/The Sun,1744,33,42,8,7,10,9,05/04/2012,2012
5-6 Apr,Survation/Mail on Sunday,1037,30,35,11,11,12,5,06/04/2012,2012
9-10 Apr,YouGov/The Sun,1661,36,40,9,6,9,4,10/04/2012,2012
11-Apr,TNS-BMRB,NA,32,42,10,9,7,10,11/04/2012,2012
10-11 Apr,YouGov/The Sun,1727,35,41,8,6,10,6,11/04/2012,2012
11-12 Apr,YouGov/The Sun,1686,35,41,9,7,9,6,12/04/2012,2012
12-13 Apr,Angus Reid Public Opinion,2010,29,41,11,8,11,12,13/04/2012,2012
12-13 Apr,YouGov/The Sunday Times,1650,33,39,10,7,10,6,13/04/2012,2012
13-15 Apr,Populus/The Times,1003,33,42,11,3,13,9,15/04/2012,2012
15-16 Apr,YouGov/The Sun,1783,32,43,8,9,8,11,16/04/2012,2012
13-16 Apr,Opinium,1957,32,37,9,10,12,5,16/04/2012,2012
16-17 Apr,YouGov/The Sun,1799,32,41,8,9,10,9,17/04/2012,2012
17-18 Apr,YouGov/The Sun,1745,32,41,10,8,8,9,18/04/2012,2012
18-19 Apr,ComRes/The Independent on Sunday/Sunday Mirror,2048,34,40,11,7,8,6,19/04/2012,2012
18-19 Apr,YouGov/The Sun,1722,32,45,8,7,9,13,19/04/2012,2012
19-20 Apr,YouGov/The Sunday Times,1715,33,41,11,8,7,8,20/04/2012,2012
20-22 Apr,ICM/The Guardian,1000,33,41,15,3,9,8,22/04/2012,2012
22-23 Apr,YouGov/The Sun,1651,32,45,8,7,8,13,23/04/2012,2012
21-23 Apr,Ipsos MORI/Evening Standard,1002,35,38,12,4,11,3,23/04/2012,2012
20-23 Apr,Opinium,2233,31,38,11,8,12,7,23/04/2012,2012
23-24 Apr,YouGov/The Sun,1787,32,43,8,8,8,11,24/04/2012,2012
24-25 Apr,YouGov/The Sun,1817,32,43,9,8,8,11,25/04/2012,2012
25-26 Apr,YouGov/The Sun,1717,31,43,9,9,9,12,26/04/2012,2012
26-27 Apr,YouGov/The Sunday Times,1717,29,40,11,10,10,11,27/04/2012,2012
25-27 Apr,ComRes/The Independent,2048,34,39,10,8,9,5,27/04/2012,2012
29-30 Apr,YouGov/The Sun,1763,35,42,8,7,8,7,30/04/2012,2012
30 Apr - 1 May,YouGov/The Sun,1744,32,41,9,8,10,9,01/05/2012,2012
1-2 May,YouGov/The Sun,1749,33,43,8,8,8,10,02/05/2012,2012
2-3 May,YouGov/The Sun,1745,32,41,9,9,9,9,03/05/2012,2012
3-4 May,YouGov/The Sunday Times,1798,31,43,9,8,9,12,04/05/2012,2012
5-7 May,TNS-BMRB,1207,30,43,10,4,13,13,07/05/2012,2012
7-8 May,YouGov/The Sun,1658,31,44,8,8,9,13,08/05/2012,2012
8-9 May,YouGov/The Sun,1708,31,44,9,8,9,13,09/05/2012,2012
9-10 May,YouGov/The Sun,1825,34,44,7,7,8,10,10/05/2012,2012
10-11 May,YouGov/The Sunday Times,1663,31,43,10,8,9,12,11/05/2012,2012
13-14 May,YouGov/The Sun,1720,31,45,7,8,8,14,14/05/2012,2012
12-14 May,Ipsos MORI/Evening Standard,1006,33,43,9,6,10,10,14/05/2012,2012
14-15 May,YouGov/The Sun,1692,32,43,8,9,8,11,15/05/2012,2012
15-16 May,YouGov/The Sun,1751,31,45,9,8,7,14,16/05/2012,2012
16-17 May,ComRes/Independent on Sunday; Sunday Mirror,2038,32,41,11,7,9,9,17/05/2012,2012
16-17 May,YouGov/The Sun,1757,31,44,7,9,9,13,17/05/2012,2012
17-18 May,YouGov/The Sunday Times,1683,32,43,8,9,8,11,18/05/2012,2012
18-20 May,Populus/The Times,1500,33,41,10,3,13,8,20/05/2012,2012
18-20 May,ICM/The Guardian,1002,36,41,11,4,9,5,20/05/2012,2012
20-21 May,YouGov/The Sun,1705,32,44,7,8,8,12,21/05/2012,2012
21-22 May,YouGov/The Sun,1727,32,43,8,9,8,11,22/05/2012,2012
22-23 May,YouGov/The Sun,1682,32,42,9,9,8,10,23/05/2012,2012
23-24 May,YouGov/The Sun,1681,34,42,8,7,9,8,24/05/2012,2012
24-25 May,YouGov/The Sunday Times,1640,31,43,8,8,9,12,25/05/2012,2012
27-28 May,YouGov/The Sun,1743,33,44,8,7,8,11,28/05/2012,2012
25-28 May,ComRes/The Independent,1001,34,42,11,4,9,8,28/05/2012,2012
28-29 May,YouGov/The Sun,1670,32,45,8,8,7,13,29/05/2012,2012
29-30 May,Angus Reid Public Opinion,2005,29,45,9,8,9,16,30/05/2012,2012
29-30 May,YouGov/The Sun,1670,32,44,9,7,9,12,30/05/2012,2012
30-31 May,ICM/Sunday Telegraph,2000,31,38,16,5,10,7,31/05/2012,2012
30-31 May,YouGov/The Sun,1694,31,45,9,8,7,14,31/05/2012,2012
31 May - 1 Jun,YouGov/The Sunday Times,1546,32,42,8,7,10,10,01/06/2012,2012
5-6 Jun,YouGov/The Sun,1766,34,43,8,7,8,9,06/06/2012,2012
6-7 Jun,YouGov/The Sun,1827,34,43,8,6,9,9,07/06/2012,2012
7-8 Jun,YouGov/The Sunday Times,1667,34,42,7,9,8,8,08/06/2012,2012
10-11 Jun,YouGov/The Sun,1763,31,45,9,9,7,14,11/06/2012,2012
